SMILES,SPLIT
C,train
CC#N,train
CC1CC1C,train
Cc1cncn1C,train
CC(C)(CO)C1(C)CC1,train
CC(C)(CO)C1(O)CC1,train
CC(O)(CO)C1(C)CC1,train
CC(O)(CO)C1(O)CC1,train
CCC(C)(C)C1(C)CC1,train
CCC(C)(C)C1(O)CC1,train
CCC(C)(O)C1(C)CC1,train
CCC(C)(O)C1(O)CC1,train
COC(C)(C)C1(C)CC1,train
COC(C)(C)C1(O)CC1,train
CC(C)(CO)C1CC1O,train
CC(O)(CO)C1CC1O,train
CC1CC1C(C)(C)CO,train
CC1CC1C(C)(O)CO,train
CCC(C)(C)C1CC1C,train
CCC(C)(C)C1CC1O,train
CCC(C)(O)C1CC1C,train
C#CC(C#C)C#CC,train
CCC(C)(O)C1CC1O,train
COC(C)(C)C1CC1C,train
COC(C)(C)C1CC1O,train
C#CC(C#N)C#CC,train
CC(C)(CO)C1CCC1,train
CC(C)(CO)C1CCO1,train
CC(C)(CO)C1COC1,train
CC(O)(CO)C1CCC1,train
CC(O)(CO)C1CCO1,train
CC(O)(CO)C1COC1,train
CCC(C)(C)C1CCC1,train
CCC(C)(C)C1CCO1,train
CCC(C)(C)C1COC1,test
CCC(C)(O)C1CCC1,train
CCC(C)(O)C1CCO1,train
CCC(C)(O)C1COC1,train
COC(C)(C)C1CCC1,train
COC(C)(C)C1CCO1,train
COC(C)(C)C1COC1,train
CC#CCC(C)(C)CO,train
CC#CCC(C)(O)CO,train
CC#CCC(C)(C)CC,train
CC#CCC(C)(O)CC,train
CC#CCC(C)(C)OC,train
CC(=O)CC(C)(C)CO,train
CC(=O)CC(C)(O)CO,train
CC(=O)NC(C)(C)CO,test
CC(=O)OC(C)(C)CO,train
CC(C)(CO)CC(N)=O,train
CC(C)(CO)NC(N)=O,test
CC(C)(CO)OC(N)=O,test
CC(O)(CO)CC(N)=O,train
CCC(C)(C)CC(C)=O,test
CCC(C)(C)CC(N)=O,train
CCC(C)(C)NC(C)=O,test
CCC(C)(C)NC(N)=O,train
CCC(C)(C)OC(C)=O,train
CCC(C)(C)OC(N)=O,train
CCC(C)(O)CC(C)=O,test
CCC(C)(O)CC(N)=O,train
COC(C)(C)CC(C)=O,train
COC(C)(C)CC(N)=O,test
CC(C)CC(C)(C)CO,train
CC(C)CC(C)(O)CO,train
CC(C)OC(C)(C)CO,train
CC(O)CC(C)(C)CO,train
CC(O)CC(C)(O)CO,train
Cn1cncc1O,train
CCC(C)(C)CC(C)C,train
CCC(C)(C)CC(C)O,train
CCC(C)(C)OC(C)C,train
CCC(C)(O)CC(C)C,train
CCC(C)(O)CC(C)O,train
COC(C)(C)CC(C)C,train
COC(C)(C)CC(C)O,train
CC(C)(CO)CC1CC1,train
CC(C)(CO)OC1CC1,train
CC(O)(CO)CC1CC1,train
CCC(C)(C)CC1CC1,test
CCC(C)(C)OC1CC1,train
CCC(C)(O)CC1CC1,train
COC(C)(C)CC1CC1,train
CCC(C)(C)OC=NC,train
CN=COC(C)(C)CO,train
C#CCCC(C)(C)CO,train
CC(C)(CO)CCC#N,train
CC(C)(CO)NCC#N,train
C#CCOC(C)(C)CO,train
CC(C)(CO)OCC#N,train
C#CCCC(C)(O)CO,train
CC(O)(CO)CCC#N,train
C#CCCC(C)(C)CC,train
CCC(C)(C)CCC#N,train
CCC(C)(C)NCC#N,train
C#CCOC(C)(C)CC,train
CCC(C)(C)OCC#N,train
C#CCCC(C)(O)CC,train
CCC(C)(O)CCC#N,train
C#CCCC(C)(C)OC,train
COC(C)(C)CCC#N,train
Cn1cc[nH]c1=O,train
CC(C#N)(CN)CC#N,train
C#CCC(C)(C#C)CO,train
C#CCC(C)(C#N)CO,train
C#CC(C)(CO)CC#N,train
CC(C#N)(CO)CC#N,train
C#CCC(C)(C#C)CC,train
C#CCC(C)(C#N)CC,train
C#CC(C)(CC)CC#N,test
CCC(C)(C#N)CC#N,train
C#CCC(N)(C#N)CC,train
