SMILES,SELFIES,logP,qed,SAS,objective
COCCCCSc1nc2c(c(=O)[nH]1)CCC2,[C][O][C][C][C][C][S][C][=N][C][=C][Branch1][Branch2][C][=Branch1][C][=O][NH1][Ring1][#Branch1][C][C][C][Ring1][Branch2],1.7773,0.4774397936169617,2.6290706634732093,-0.2418716953884008
Cc1csc(=O)n1CC(=O)NCCc1ccccc1Cl,[C][C][=C][S][C][=Branch1][C][=O][N][Ring1][=Branch1][C][C][=Branch1][C][=O][N][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl],2.2305200000000003,0.9204770447658692,2.1080289822046243,2.494356241624722
Cc1cccc(NC(=O)N(CCC#N)Cc2ccccn2)c1C,[C][C][=C][C][=C][C][Branch2][Ring1][=Branch1][N][C][=Branch1][C][=O][N][Branch1][Branch1][C][C][C][#N][C][C][=C][C][=C][C][=N][Ring1][=Branch1][=C][Ring2][Ring1][Branch1][C],3.646220000000002,0.9163578356102604,2.182469003743064,2.3993201743082384
Cc1ccc(C2=CCN(C(=O)c3ccc[nH]c3=O)CC2)cc1,[C][C][=C][C][=C][Branch2][Ring1][Branch2][C][=C][C][N][Branch1][=C][C][=Branch1][C][=O][C][=C][C][=C][NH1][C][Ring1][=Branch1][=O][C][C][Ring1][#C][C][=C][Ring2][Ring1][Branch1],2.612820000000001,0.9253642866112208,2.2607914890548884,2.366029944001216
Cn1c(-c2cccc(N)c2)nc2ccc(F)c(F)c21,[C][N][C][Branch1][N][C][=C][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1][=N][C][=C][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Ring1][Branch2][Ring2][Ring1][C],3.1007000000000007,0.6823108615832086,2.30851106253758,1.1030432453784629
Cc1ncsc1CNC(=O)NC(CO)c1ccccc1,[C][C][N][=C][S][C][=Ring1][Branch1][C][N][C][=Branch1][C][=O][N][C][Branch1][Ring1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],1.98432,0.7883675595292273,2.6857079351367066,1.2561298625094302
COc1cc(N2CCc3ncnc(-c4ccncc4)c3CC2)ncn1,[C][O][C][=C][C][Branch2][Ring1][#Branch2][N][C][C][C][=N][C][=N][C][Branch1][=Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][=C][Ring1][N][C][C][Ring1][P][=N][C][=N][Ring2][Ring1][#Branch1],1.9424,0.7241899633761315,2.642599884825291,0.9783499320553668
Cc1ccc(-c2cc3c(=O)n(CC#N)ccn3n2)cc1,[C][C][=C][C][=C][Branch2][Ring1][=Branch1][C][C][=C][C][=Branch1][C][=O][N][Branch1][Ring2][C][C][#N][C][=C][N][Ring1][#Branch2][N][=Ring1][=N][C][=C][Ring2][Ring1][Ring1],1.995,0.7107525274771149,2.483658305512895,1.0701043318726793
COCC(C)NC(=O)C(NC(=O)c1ccccc1)C(C)C,[C][O][C][C][Branch1][C][C][N][C][=Branch1][C][=O][C][Branch1][=C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][C][C],1.5920999999999994,0.8017644032686441,2.489120823323363,1.5197011930198574
Cc1cc(C)cc(CCC(=O)N(C)Cc2cnn(C(C)C)c2)c1,[C][C][=C][C][Branch1][C][C][=C][C][Branch2][Ring1][#Branch2][C][C][C][=Branch1][C][=O][N][Branch1][C][C][C][C][C][=N][N][Branch1][=Branch1][C][Branch1][C][C][C][C][=Ring1][Branch2][=C][Ring2][Ring1][=Branch1],3.672040000000002,0.815827122249965,2.3458540586881185,1.7332815525617065
