SMILES,SELFIES,logP,qed,SAS,obj
CCOc1ccc(CCCNc2cccc(O)c2)cc1N,[C][C][O][C][=C][C][=C][Branch1][S][C][C][C][N][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1][C][=C][Ring1][P][N],3.4178000000000006,0.5387166991180516,2.007662081970633,0.6859214136196252
Cc1nc2c(N(C)Cc3c(C)noc3C)ncnc2o1,[C][C][=N][C][=C][Branch1][P][N][Branch1][C][C][C][C][C][Branch1][C][C][=N][O][C][=Ring1][=Branch1][C][N][=C][N][=C][Ring1][S][O][Ring2][Ring1][Ring1],2.16746,0.7228366304579436,2.9670666195672606,0.6471165327224573
O=C1CC(C(=O)N=c2[nH]c3ccccc3[nH]2)c2ccccc21,[O][=C][C][C][Branch2][Ring1][Ring1][C][=Branch1][C][=O][N][=C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][Ring1][Branch1],2.2935,0.7212573053325274,3.2840596011830385,0.3222269254795984
CCOc1ccc(C(=O)C(C)Sc2nc3ncccn3n2)cc1,[C][C][O][C][=C][C][=C][Branch2][Ring1][#Branch1][C][=Branch1][C][=O][C][Branch1][C][C][S][C][N][=C][N][=C][C][=C][N][Ring1][=Branch1][N][=Ring1][=Branch2][C][=C][Ring2][Ring1][Ring2],2.8865000000000007,0.5117744242676637,2.7877477389980854,-0.2288756176597668
Cc1cccc(-n2c3nc(=O)n(C)c(=O)c-3cc3ccccc32)c1,[C][C][=C][C][=C][C][Branch2][Ring1][=C][N][C][=N][C][=Branch1][C][=O][N][Branch1][C][C][C][=Branch1][C][=O][C][Ring1][=Branch2][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][P][=C][Ring2][Ring1][#Branch1],2.4976200000000013,0.5068752177145585,2.272291853763773,0.2620842348090191
CC(CC(O)c1ccco1)NC(=O)NCC1Cc2ccccc2O1,[C][C][Branch1][=N][C][C][Branch1][C][O][C][=C][C][=C][O][Ring1][Branch1][N][C][=Branch1][C][=O][N][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][=Branch2],2.3945000000000007,0.7592598496090667,3.407975400678234,0.3883238473670993
CC1CN(CC(=O)N2CCC3(CC2)OCCO3)c2ccccc2S1,[C][C][C][N][Branch2][Ring1][=Branch1][C][C][=Branch1][C][=O][N][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][O][C][C][O][Ring1][#Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][S][Ring2][Ring1][#Branch1],2.3527,0.8206846971918232,3.5778954293452188,0.5255280566138971
CC12CN3CC(c4ccccc4)(CN(C1)C3c1ccccc1)C2=O,[C][C][C][N][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch2][Ring1][Ring1][C][N][Branch1][Ring2][C][Ring1][=C][C][Ring1][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring2][Ring1][=Branch1][=O],2.843400000000001,0.8505678429578327,4.363755426418765,-0.1109162116296005
CCn1nc(C)c(CCN2CC3(CCOC3)CCC2=O)c1C,[C][C][N][N][=C][Branch1][C][C][C][Branch2][Ring1][Ring2][C][C][N][C][C][Branch1][#Branch1][C][C][O][C][Ring1][Branch1][C][C][C][Ring1][#Branch2][=O][=C][Ring2][Ring1][Ring1][C],2.0914399999999995,0.8555824201534528,3.694183593318278,0.5837285074489857
CC1(C)C2CCC1(CS(=O)(=O)NCc1cccs1)C(=O)C2,[C][C][Branch1][C][C][C][C][C][C][Ring1][=Branch1][Branch2][Ring1][C][C][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][=C][C][=C][S][Ring1][Branch1][C][=Branch1][C][=O][C][Ring2][Ring1][C],2.562900000000001,0.9038325827159798,4.156200622891923,0.3629622906879755
CCCn1nc(C(=O)Oc2ccc(-n3cnnn3)cc2)ccc1=O,[C][C][C][N][N][=C][Branch2][Ring1][#Branch1][C][=Branch1][C][=O][O][C][=C][C][=C][Branch1][Branch2][N][C][=N][N][=N][Ring1][Branch1][C][=C][Ring1][O][C][=C][C][Ring2][Ring1][Ring2][=O],0.8482,0.5052884671643375,2.3620120682040646,0.164430267617623
Cc1cc(NC(=O)CCNS(=O)(=O)c2cn(C)c(C)n2)[nH]n1,[C][C][C][=C][Branch2][Ring1][=N][N][C][=Branch1][C][=O][C][C][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][N][Branch1][C][C][C][Branch1][C][C][=N][Ring1][#Branch1][NH1][N][=Ring2][Ring1][Branch1],0.0671400000000002,0.6931054872271025,2.9702102802636787,0.4953171558718336
