,x,y,prop
0,-10,-10,1.7593323234717564
1,-10,-9,1.788624972038137
2,-10,-8,2.3763433314371376
3,-10,-7,2.4916485376312707
4,-10,-6,2.4916485376312707
5,-10,-5,2.4916485376312707
6,-10,-4,2.4916485376312707
7,-10,-3,3.188509669135278
8,-10,-2,3.1921882516679823
9,-10,-1,3.1611026854229385
10,-10,0,2.3877852756704403
11,-10,1,2.339692870804184
12,-10,2,2.426776165093746
13,-10,3,2.4159641030041588
14,-10,4,2.298923084887007
15,-10,5,2.141579416335207
16,-10,6,1.9416037128520065
17,-10,7,2.090426136496548
18,-10,8,2.090426136496548
19,-10,9,2.090426136496548
20,-10,10,2.090426136496548
21,-9,-10,1.7593323234717564
22,-9,-9,2.5026947786037463
23,-9,-8,2.4916485376312707
24,-9,-7,2.4916485376312707
25,-9,-6,2.4916485376312707
26,-9,-5,2.4916485376312707
27,-9,-4,2.887803971707947
28,-9,-3,2.904219919305821
29,-9,-2,3.089969491401166
30,-9,-1,3.1890845005367607
31,-9,0,3.188509669135278
32,-9,1,3.174228678457861
33,-9,2,2.789509623830794
34,-9,3,2.0068020967155333
35,-9,4,1.951045433151901
36,-9,5,1.961857495241488
37,-9,6,1.8915425614428776
38,-9,7,2.3582475855053793
39,-9,8,2.090426136496548
40,-9,9,2.090426136496548
41,-9,10,2.090426136496548
42,-8,-10,3.043960586255057
43,-8,-9,2.4916485376312707
44,-8,-8,2.4916485376312707
45,-8,-7,2.4916485376312707
46,-8,-6,2.4916485376312707
47,-8,-5,2.7041481848106894
48,-8,-4,2.5012760082059486
49,-8,-3,2.5099724541342336
50,-8,-2,2.5551956704455243
51,-8,-1,2.7447680067768494
52,-8,0,3.0101334607722077
53,-8,1,3.210104834135829
54,-8,2,3.2007993000822608
55,-8,3,3.1955932405943672
56,-8,4,2.1923257907659477
57,-8,5,1.951045433151901
58,-8,6,1.949669701013428
59,-8,7,1.9249285214424352
60,-8,8,2.158104780326795
61,-8,9,2.090426136496548
62,-8,10,2.090426136496548
63,-7,-10,2.4916485376312703
64,-7,-9,2.4916485376312707
65,-7,-8,2.4916485376312707
66,-7,-7,2.4916485376312707
67,-7,-6,2.90183417649117
68,-7,-5,2.5605927925560117
69,-7,-4,2.4682312111626805
70,-7,-3,2.4517088126410465
71,-7,-2,2.4532717367871437
72,-7,-1,2.5138852290107914
73,-7,0,2.573170518926428
74,-7,1,2.7206867571872904
75,-7,2,3.103178193548473
76,-7,3,3.1536628163253453
77,-7,4,3.2093437028384812
78,-7,5,3.208093660816289
79,-7,6,1.951045433151901
80,-7,7,1.951045433151901
81,-7,8,1.4028284615013131
82,-7,9,1.341964328139902
83,-7,10,2.0604876641622822
84,-6,-10,2.4916485376312707
85,-6,-9,2.4916485376312707
86,-6,-8,2.4916485376312707
87,-6,-7,3.2561157051796137
88,-6,-6,2.833920645039704
89,-6,-5,2.498302860013873
90,-6,-4,2.4398092290026714
91,-6,-3,2.4351864141194124
92,-6,-2,2.4351864141194124
93,-6,-1,2.4682312111626805
94,-6,0,2.4789482902101385
95,-6,1,2.5406493932820045
96,-6,2,2.5470716089421974
97,-6,3,2.797851594503045
98,-6,4,3.1894723791507
99,-6,5,3.2093437028384812
100,-6,6,3.1126888505393735
101,-6,7,1.9490713957986892
102,-6,8,1.9482939688749557
103,-6,9,1.341964328139902
104,-6,10,1.341964328139902
105,-5,-10,2.5071538743580057
106,-5,-9,2.562273437282519
107,-5,-8,3.573158532251997
108,-5,-7,3.2038319996376687
109,-5,-6,2.7888366336375956
110,-5,-5,2.4868719680933933
111,-5,-4,2.475798681284555
112,-5,-3,2.4351864141194124
113,-5,-2,2.437280939851422
114,-5,-1,2.4517088126410465
115,-5,0,2.420758541329788
116,-5,1,2.5178353114890313
117,-5,2,2.45345802649812
118,-5,3,2.542066936043212
119,-5,4,3.2024232011229112
120,-5,5,4.120957953805949
121,-5,6,4.186328461280116
122,-5,7,2.7647313822625863
