gen_SELFIES,gen_SMILES,gen_qed,gen_sa,obj,iter,z_value
[C][C][C][C][C][C][N][Ring1][=Branch1][C][=Branch1][C][=O][C][N][C][C][N][Branch1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][F][C][C][Ring1][=N],CC1CCCCN1C(=O)CN2CCN(C3=CC=CC=C3F)CC2,0.8555497936758758,2.394007179557528,1.883741788821851,0,"[ 0.08294201 -4.035322    2.0622048  -4.086691   -2.9256516   3.3290539
 -3.072268    1.3934612  -0.8147273  -1.4125407   1.5474529   2.968915
  1.1858568   0.610971   -0.20950222 -0.47485542 -2.1631374   1.3339214
 -1.0128381  -0.29845262  3.8052502   0.04978323 -0.9117503  -0.51018715
 -4.018533   -2.470779    2.332851    3.986045    2.7195492  -1.7068996
  2.750927   -1.0470467   2.0705543   3.4160943   1.7363782  -0.28950024
  0.6074567  -0.62850356  3.8520937   3.1706376   4.11971    -2.7639189
 -3.594837   -0.4376619   0.34258175  2.2873669   0.90430546 -1.7319205
  1.5616584  -3.4218512   4.2011995  -3.3583534   2.7872758   0.21785688
 -2.245026   -4.0758452  -0.6030071   4.2414484   1.9002094   3.9591322
 -0.36978793 -1.4893095   1.5397758  -0.0496769  -2.5760365  -2.0561676
 -0.85210705 -0.29173136 -3.9158444  -0.4412608  -3.9228585   3.6751184
  2.9286594   4.081029   -0.44096398 -0.61014533  2.387487   -0.54202175
  0.81501627 -4.0210977  -3.5855618  -0.6603956   0.4933777  -0.17674685
 -1.0692105   2.685701    2.7243867  -0.48774695 -3.298194   -2.9599652
 -2.447734    0.5292473  -1.4019454  -3.9206815  -3.6761932  -0.10278702
 -1.1103628  -1.3382592   1.656187    0.35149622  3.2317967  -4.0353823
 -0.82655835  3.2791533   0.31840706  3.9586782  -3.2033901   2.6114163
 -2.4311478  -2.3276436   4.2813644   0.61638784  1.5366621  -1.615248
  1.8690329   1.5801139   1.9450417   3.159329    1.6331949  -3.8002443
 -0.46101904  3.9682312  -3.120635    0.41791248 -0.17809486 -0.8087008
  1.9609356   4.1017838 ]"
[C][C][=C][C][=C][C][Branch2][Ring1][Ring1][N][C][=Branch1][C][=O][C][C][C][C][Branch1][C][C][=N][O][C][=Ring1][=Branch1][C][=C][Ring2][Ring1][C],CC1=CC=CC(NC(=O)CCC=2C(C)=NOC=2C)=C1,0.9159834162673863,1.8741964036116006,2.7057206777253313,1,"[-3.99978     1.9933243   0.74753714 -2.9477077  -3.356985    0.16595554
  2.8037314   1.9265137  -3.6988275   1.8711076  -1.3487773  -3.0728297
 -2.5880108   0.5713315  -0.35211015 -3.5754318   0.59889555 -2.956993
  1.3339858   3.071257   -4.0729656  -0.8778498   2.603547    0.5638585
 -1.6718256  -3.8843298  -0.0736413   1.7110577  -2.9642391   3.4128575
 -0.24687481 -1.6569238   0.6316204   0.40814495 -0.8956244   2.1045604
  2.0088634   0.44962645  0.6569042  -1.2161634  -2.3863673   1.4980359
  1.1572561   0.48865366  0.4891138  -1.8824849  -3.1840382  -3.0040183
 -1.2742441   1.7698464   2.793262    2.2463174   1.8026323   0.21882963
  1.0725455  -2.4535587  -1.2875698  -0.49077916  2.8439293   0.18979597
 -3.1433783   3.1992316   0.68363094 -2.4781508   2.3960056   0.04942083
 -0.7142639   1.6414404  -3.993551    3.9730396  -2.8674598  -1.8409657
 -2.3879552  -1.0088272   0.8281374  -3.3148165  -3.9847245  -1.15611
  0.3510146  -0.34202313 -0.17227459 -3.9601383   2.3644881   0.65021944
  1.9166765  -3.3640301  -2.6345778  -1.6173372   3.4005833  -2.0529199
  4.225425    0.10232353  3.85225     2.3609838  -2.9621496  -0.4528656
 -1.216568    1.0025687  -4.0062075   2.4877324   2.7633638  -3.4870734
  4.2061014   0.16459513 -1.2834072  -0.3304639   1.7897816   0.80375385
 -2.602323   -0.7966683  -3.5434077   2.822483   -3.8808637  -1.9349246
  0.72071075  4.0992575  -0.85092735 -2.1435213   1.294847   -1.6646581
 -3.9510362   4.197216   -3.158032   -1.8241565  -0.9279821  -0.6712346
  3.3438993  -4.075175  ]"
[C][C][C][C][C][C][N][Ring1][=Branch1][C][=Branch1][C][=O][C][C][C][C][N][Branch1][P][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][F][C][Ring1][S],CC1CCCCN1C(=O)C2CCCN(C(=O)C3=CC=C(F)C=C3F)C2,0.8216953887808169,2.8171055009533177,1.2913714429507674,2,"[ 3.6330247  -1.6655517  -2.4053578   2.888466   -3.7411103   3.55507
  1.1752062   2.347261    3.4899292   3.7596684  -0.52158475  1.340116
  3.1433063   3.4076338  -3.0327065  -1.1637559  -0.7919786   3.7060633
  0.46058702 -3.5697877  -1.5279572  -2.44309     0.9447284   3.9887924
 -2.082219    3.8556662   1.1783504   1.8474035  -2.387288   -1.0949345
  3.371018    1.2085075   1.2688985   3.5990639  -2.382466   -3.8477788
 -0.05512857 -3.1003728  -2.049765   -0.15366173  3.0111103   3.1493778
  3.948432    2.986187    4.234994   -2.333049    3.6773229   0.6109867
 -1.3378899   1.9012976  -2.337627   -1.7424073  -1.3953216  -3.0848877
  3.628406    1.0822091  -2.7913518  -3.089557   -2.8251028   3.483828
 -1.3266487  -3.2185726  -0.90021443 -0.13044357 -1.3112795  -0.7476251
  3.097918    2.9721012   2.7569861   3.3100376  -1.0488834   1.1624923
  1.0593362   2.05055    -3.259411    0.1498847  -1.242378    0.32958174
 -1.8575912   2.3020902  -0.96466255  1.523613    0.22443342 -1.6452098
 -2.2395418  -0.17397308 -0.3255489  -3.9144497   1.6231608   3.9148045
  0.65329075 -0.9904437  -1.3145185   1.8973536  -2.5429955   3.4247618
 -1.3355796   2.6931515  -2.3767533  -0.956862    3.1193156   0.14763689
  1.5311813  -3.6613202   0.8355732  -2.06891     2.7330494   0.9945588
 -3.9840074   2.3562574   3.9251623   2.8820744   1.2159367   3.819788
  0.44061184  3.1031265   1.2453518   2.5708213  -0.64852333  3.211331
  0.7398863  -3.1515896  -1.7546935  -3.9019015  -3.6241093  -0.00486755
  0.0858469  -0.20442867]"
[C][C][=C][C][=C][Branch2][Ring1][=N][C][=Branch1][C][=O][N][C][C][C][C][Branch1][#C][C][=N][O][C][Branch1][=Branch1][C][Branch1][C][C][C][=N][Ring1][Branch2][C][Ring1][=C][C][=C][Ring2][Ring1][=Branch1],CC1=CC=C(C(=O)N2CCCC(C3=NOC(C(C)C)=N3)C2)C=C1,0.8696188226869268,2.6309704178576894,1.7171236955769444,3,"[ 2.0000467  -0.17462254  3.890027    1.0129914  -1.7181034   3.7999382
  0.59533453 -1.4497252   2.4063902  -0.45071816 -1.7288013  -2.185329
  3.9759474  -2.8713238  -3.04306     1.8257918  -3.7036014  -2.6934657
  2.249168   -0.34067678 -3.6362982   1.7693009  -3.4579053   1.0584493
  2.7852721   2.6895976   2.1139941   0.16506863 -0.5905609   1.616231
 -1.8324392   1.618012    4.258607    2.762135   -3.79016     3.2112002
 -1.6715498  -2.5414252  -2.6145678   0.58141565  2.9057255  -3.6102436
  2.7212477  -1.6432424   2.741292    1.4726648  -3.3664155  -3.8585415
 -4.204811   -4.023528    3.0313272   2.128418    3.1730633  -2.1179955
 -3.3745594  -0.6451416  -2.3886447   2.7330775   0.10829973 -2.8233924
 -4.0893383   1.2231035  -3.2099237  -4.16093    -1.1834726   4.254059
  0.4870906  -1.4667358  -3.413136   -0.04388523 -2.990358   -0.11062431
 -1.3203428   1.5695386   3.8574886  -0.57536054  3.2701373  -2.4152713
  4.1521864  -4.137852   -3.5656793  -2.832981    3.7612286   1.7393312
 -2.1894183   0.01167059  2.7347026  -3.5237944  -2.0410001  -3.8047833
  4.216178    4.311838    2.3612785   4.0739164  -0.37751842 -1.0336254
 -0.62682486  0.6162901  -2.0728648  -1.0138655  -0.4737966   0.558784
  0.45879507 -2.42722    -3.7792914  -3.8985598   0.83493614  1.5426292
  2.1686344  -3.1735008   2.2558722   1.7892346   2.889481   -3.6951394
 -2.9843016  -0.53821516  3.537777    2.40797     1.614398    3.4451866
 -0.639976    0.4990201  -3.040254    1.7384634  -2.7786841   0.6727047
  0.71649504  4.2511435 ]"
[C][C][=C][C][=C][Branch2][Ring1][=N][C][=Branch1][C][=O][N][C][C][C][C][Branch1][#C][C][=N][O][C][Branch1][=Branch1][C][Branch1][C][C][C][=N][Ring1][Branch2][C][Ring1][=C][C][=C][Ring2][Ring1][=Branch1],CC1=CC=C(C(=O)N2CCCC(C3=NOC(C(C)C)=N3)C2)C=C1,0.8696188226869268,2.6309704178576894,1.7171236955769444,4,"[ 1.4222941   1.9887533  -1.9567058  -2.6595073   3.2349992   1.2556605
 -0.01399088 -1.9529536   0.9167433   4.303466    2.5746894   0.9606776
  1.9107971  -3.9598162   4.1730967   2.5086784   3.2075076  -2.1996593
 -0.5411866   3.4558864  -1.6817045  -1.8230536  -3.5949872  -3.0209541
  3.5992694  -3.0471497  -3.024719   -2.6192446  -0.607744   -0.04381895
  0.97556067  0.6818361   0.40890646 -3.6109161   2.2697663   4.2030745
 -2.5480402  -2.5060563  -1.352943    4.0172796  -0.43742585  1.2776966
 -1.1576858  -2.4738135   2.657113   -4.0866017   3.9924784  -2.6170943
  3.6814318  -3.962436    0.9100523   3.8149538   2.8634229  -2.457091
  1.7163329   3.172793    4.1634703  -1.0707932   0.33325672 -0.73127556
 -2.7244911   4.29862     2.864595    4.0540724   2.0401301   0.46226168
  1.6761518   3.9830275   1.0852447   3.6206946   2.726509    0.5614505
  3.8358488   1.9809375  -4.052095   -3.339293    3.3015494   3.5633135
  3.4760404  -1.5587547  -3.3611243  -3.8361635  -2.391438    0.838387
 -1.5440388  -2.60141     1.7775698  -4.0984855   3.8822813   1.3314857
  1.4222269  -1.658402    4.034541   -3.8164837  -1.0485373   3.6279545
  1.8037257   3.8723164   2.6339698   2.984107    1.1466913   2.9831357
  0.28334427 -3.1955261  -0.8602278   3.951293    3.497233    3.955759
  1.3015375  -0.7614641   2.5453863   0.56304026 -0.4959283   0.76064014
  2.4170785   1.6828299   3.259633   -0.9223311   0.13120747  0.18047619
  2.1293097  -0.2482655  -1.6017799   3.3477626   0.44376135 -2.0057936
 -0.66988707  1.3188    ]"
[C][C][=C][C][=C][Branch2][Ring1][Branch1][C][=Branch1][C][=O][N][C][C][C][C][C][Ring1][=Branch1][C][=C][C][=C][N][=C][Ring1][=Branch1][C][=C][Ring2][Ring1][Ring2][C],CC1=CC=C(C(=O)N2CCCCC2C3=CC=CN=C3)C=C1C,0.8363368388030149,2.362422032501721,1.819262161513354,5,"[ 1.6452084  -3.180282   -0.8518586   0.8789129  -1.1616421   4.3114986
 -1.2799721  -3.7220747   4.125127    2.5693498  -3.7186165  -2.1735315
 -2.625535   -0.6808176   2.7562165   2.2336755  -4.1760626  -1.6665392
  1.8845372   0.9979124  -3.1274638  -1.5372062   0.5125785  -3.7701871
 -0.46765566 -3.7402196  -2.0107627   4.255166    1.6450195  -1.3665607
  0.35611486  0.04941988  3.7901688   4.312731   -1.4828851  -1.7230403
  3.4757981  -1.4283917   3.4321055  -1.2203879   4.1491995  -0.9756322
  1.6226454   1.0325074   4.171344   -2.5967908  -1.3219867   0.98835564
 -1.4274254   3.011695   -3.6356223  -1.1656158  -1.0631018   0.80225897
 -1.9396341   4.1577272  -2.9750776   2.5946865  -2.990953    0.6068859
 -2.7216778   3.4897165  -3.3173356   1.1734862  -0.21457243  1.1184154
 -3.6850467  -3.1756878  -1.9117146  -2.9903677  -3.2465801  -0.99589896
  0.9318752   2.8368988   4.1322107  -4.0464506   1.2769923   2.6571307
 -2.0687358   1.5451164  -2.688324   -4.139752    2.4423428  -3.429623
  0.91461563  2.6983624  -3.8906097  -2.1155808  -3.380803    2.231339
  2.44108     0.6177516   4.042407    0.84055376 -4.124889    3.3449965
  3.4563832   0.11680174 -1.6664715   2.5890455  -3.5754962   2.8046198
  3.2998042  -2.4212306   2.7103925   1.9789567   2.3417573   2.9228702
 -2.6606307  -3.2303395   4.2005396   1.7130675   2.3885527  -2.9210143
 -3.0552857  -2.4111333   2.3710756  -3.938463    2.4729228   4.1685677
  4.2854614  -4.0006843   1.2301674  -1.7114062  -0.12408304 -4.1728683
  1.2972465  -0.04236889]"
[C][C][=C][C][=C][Branch2][Ring1][=Branch2][C][=Branch1][C][=O][N][C][C][C][C][Ring1][Branch1][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=N][Ring2][Ring1][=Branch1],CC1=CC=C(C(=O)N2CCCC2CC(=O)C3=CC=CC=C3)C=N1,0.8145772013159422,2.4667162704666197,1.6061697361130918,6,"[-3.2001119   0.21328259 -3.3948865   2.9713435   2.3593612   0.17046404
 -3.7751913   0.20973349 -1.4026797  -1.4915035  -1.2837536   1.6058836
 -1.8509605   3.081058   -1.6611042  -3.9423506  -0.1472168  -1.1498697
  2.0258198  -2.4587936   2.3304863   4.262888   -0.19198847 -0.6755445
 -3.3436093   2.9486275   1.7177391   1.137608    2.41722    -2.3322432
  2.2927752   1.7037296   3.918167   -3.2354445  -3.2512603  -3.9248483
  2.0495262  -2.5124395   0.0693593   2.7134657  -2.8403122  -1.3384228
 -1.9709377   3.8422527  -1.8611453   1.2730327   4.1082563  -2.8729608
 -0.72883296 -4.152248   -1.9941266  -4.097071   -1.6600437   3.6051202
  0.62245226  0.10016346  0.39239216 -0.26622343  1.3603911   3.6416478
  3.7381315  -4.142401   -1.7331946   3.038251   -3.5129714  -1.9911764
 -0.6484299   3.9202461   1.8810191  -1.44347    -0.2703216  -0.37423706
 -1.433631   -0.6211226  -0.5552139   2.5580215   3.4436712  -0.8979955
  2.3317318   1.8284998  -2.5541325   4.207835    2.0628328   3.172443
  3.943119   -0.80237055 -2.4805496  -3.5980737  -1.4306273   2.1828866
 -0.9598367   3.0593743   1.1423817   3.8617086   4.1568756  -1.5892723
 -1.6423366   1.4327106  -3.4736052  -2.2141187  -3.302367    0.49190855
 -0.01405525 -3.3312874  -2.9508772   2.8526287  -2.4727743  -0.05345774
 -1.7294936  -2.9226441   1.4559817  -3.467872    2.5250926   3.7716694
 -0.31412697  1.6332631   2.325923    2.617662   -2.9783907   1.0907736
 -3.0639186  -0.60503936  1.6588812  -3.430218    2.6576333   1.7244754
 -1.518784   -4.1121492 ]"
[C][C][=C][C][=C][Branch2][Ring1][=N][C][=Branch1][C][=O][N][C][C][C][C][Branch1][#C][C][=N][O][C][Branch1][=Branch1][C][Branch1][C][C][C][=N][Ring1][Branch2][C][Ring1][=C][C][=C][Ring2][Ring1][=Branch1],CC1=CC=C(C(=O)N2CCCC(C3=NOC(C(C)C)=N3)C2)C=C1,0.8696188226869268,2.6309704178576894,1.7171236955769444,7,"[ 0.58109903  1.142117   -1.3145635   1.170742    2.674705   -3.9878192
  2.3178582   0.9239149  -1.3881562  -4.2170396   1.4950933  -2.1774926
  3.0852299   3.2111063  -0.7969594   0.7051506  -1.0250409  -3.2217598
 -3.7952335  -3.61593    -3.0718951   2.6889644   3.5908775   1.6191111
 -2.6326087  -0.5647011  -1.4935551  -1.6608639  -0.83070517  2.6790643
 -4.1774673   0.7578912  -1.6473393   2.4131913  -3.6000195  -4.021268
 -3.6767719  -2.7957575   2.8876905  -0.8052168   1.6220284   1.9964151
 -0.6394334   3.6024337   4.044406   -3.2520652  -1.1369035   0.27919912
 -1.430268    3.213007    1.7943115   2.9758768  -0.67507863  0.92269945
  4.0929337   2.5380993  -2.646219   -1.9769382   4.0771866  -0.85565066
  3.3993154   0.83989716 -2.083333    2.8022676  -2.846787   -0.54135394
  1.6922789  -3.815099   -2.6431122  -3.0401227   3.5144248   0.08675385
 -3.1026404   4.2248755  -3.7340953   2.2960029  -2.7759233  -4.22731
  3.1359248  -2.1478932  -1.397408   -2.8823757   2.523878   -3.9401956
  0.8899784   2.8459206   0.36548185  1.299252    3.1150994  -1.574178
  1.7036161  -3.9038758   1.1606388  -1.6294882  -2.5196614   0.7859297
  3.7106228  -3.3927019  -3.4942183   0.00876904 -1.0316615   3.6926322
 -0.40355015 -1.4579711   0.72284746  2.1680522  -2.7420754   1.0177326
  2.5465307   3.5646553   1.3387833  -0.3830843  -0.02016497  1.8706217
  1.455194   -1.3631995   4.186095   -0.77370095  2.61688    -2.2051
  0.5114794  -3.8868961  -0.71917963 -0.20954609 -2.8181896  -2.3781695
  4.0601225   1.1846008 ]"
[C][C][=C][C][=C][C][Branch2][Ring1][Branch1][C][=Branch1][C][=O][N][C][C][C][C][Ring1][Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring2][Ring1][Ring2],CC1=CC=CC(C(=O)N2CCCC2CC3=CC=CC=C3)=C1,0.8355820310004907,2.1564541314524117,2.0214560235500416,8,"[-0.34290576  1.5967932   2.2595472   3.2782664  -2.0871081  -1.6201401
  2.5898833   3.5833483   0.48288345 -2.6847148  -0.9099457  -3.8488142
 -2.6407804   3.2302585   3.9017344   3.4647603   4.051565    1.2207923
 -1.0106161  -1.5509298   0.22296762  0.57694674  4.0280056  -0.82726216
  2.3174996   2.2724366   1.4916868  -2.4374142  -0.8380883  -2.0484724
 -2.1826534  -0.6654844  -2.2382045   0.675838    3.1088266  -3.4359097
 -4.159091    3.9493103  -2.5289464   2.5338292   2.2756567   1.8460279
  2.6806345  -2.5832167  -0.1879096  -3.6440783  -2.2284083  -2.5153813
 -0.017066    2.4857202   2.1693091   0.9966097  -3.7018964   2.339003
 -0.02601099  0.50261354 -2.0514529  -0.39561558 -3.5001924  -0.55135894
 -0.3859694   3.8336258   1.5413785   0.09512377  3.9119415   0.50674725
  3.2156873  -0.4632876   1.9820294  -1.0018668  -1.2104135  -3.4807067
  3.487904   -0.8789046   0.08244038  2.2393646   2.9305916  -0.28459358
 -2.1740773  -4.117042    0.3212695   1.0510836  -0.82399464 -2.6822042
  1.5596781  -2.6307964   1.8711596   1.4317212   2.812005   -3.3481567
  1.7404709   1.711235    0.6322832  -1.8445528  -2.744676   -1.6139638
  2.6224322  -0.9643202   3.5057774   1.7715712   2.6098647  -3.525051
  1.1759887  -3.45498     3.4031096  -0.7403147   2.0871043  -1.7240655
 -1.916858   -4.0077295   2.6656084   0.08531237 -1.2971656  -0.18623018
 -2.4673057  -1.4329255   0.22797489  1.4889035  -0.28924656 -0.21733141
  3.49542    -1.6742685   3.9634752  -2.0528095   0.3721881  -2.8233166
 -1.1226215   0.6084933 ]"
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][F],CC1=CC=CC=C1CNC(=O)C2=CC=CC=C2F,0.8815329027378745,1.4877204033674811,2.9199441103218913,9,"[ 4.296606    2.7272     -0.5878763  -4.083531    0.960484   -2.0597327
  3.0587282   4.161748    0.22357464 -2.1276348   3.4267392  -3.474527
 -2.330138   -1.1551762  -3.9765499   0.85929585 -4.117566   -3.9537673
  3.2975097   0.11828995 -2.0900483   1.2629933   3.741695    1.0962095
  1.1467028   0.16308975  1.7513161  -2.9454117   3.488988   -1.3570213
  1.6076455   3.6901302  -0.7815883  -3.5772195  -0.19762468 -1.9238625
  0.77742577  3.2036185  -2.4946632   1.7512984  -3.442264   -2.7675953
 -0.73418117 -3.9530811  -0.14129877 -1.2463245   0.06847334  0.41325903
 -4.169852    0.05281067 -4.2378397   3.7994604   2.785913   -1.2909713
 -0.01212549 -0.36904454  0.28097582  1.0195522  -1.906122   -1.2157638
  2.0957227  -0.22393751 -1.7602668   1.2155404  -1.2294137   3.7790232
  2.9657445  -3.6492589   2.4988494   1.5358381  -2.0177724   1.2600298
 -2.555902   -3.2728148   0.8241682   2.177341    3.485755   -2.8518872
  3.0427628   2.3965254  -3.6187694  -1.716222    0.6722288   2.238913
  3.000987   -3.8925052  -2.86963    -3.7331564   2.7277493   0.41458988
  2.1185875  -3.1241055  -1.2793643   4.1376705  -0.76574254 -0.07920027
 -1.6811061   0.90948105 -3.9672463   0.61758614  2.9552026  -4.046521
 -0.10712624  3.5111623   0.51120806  2.9184418   0.36397362 -3.7386374
 -0.9825268   2.8374462  -4.022503   -2.1795297   0.6193538   2.8305564
 -2.4182725   2.4561315  -1.9709599  -2.5270586  -3.9477243   2.7413464
  3.8659668  -1.3376901  -3.3948283  -0.1368699  -3.1918402  -2.1502612
  1.2943802   1.1501079 ]"
