gen_SMILES,gen_qed,gen_sa,obj,iter,z_value
CC(C)CC(C)N(C)C(=O)CN1CCN(C(=O)C2CCCC2)CC1,0.7463260931797806,2.667699511273014,1.063930954625889,0,"[-4.2193232e+00 -2.1977947e+00  4.5554876e-01 -1.5103784e+00
  2.5982380e+00 -1.4791605e+00  3.3579559e+00  2.3653412e-01
  1.9611793e+00 -8.8825011e-01  3.9797940e+00  4.1660352e+00
  3.5971861e+00 -7.5435638e-04  1.6854377e+00  2.6090126e+00
 -2.4743476e+00  4.1042008e+00  3.6425996e+00  8.1889534e-01
 -5.2101612e-02 -2.9550433e-01  2.6646523e+00  1.5455418e+00
  2.8723159e+00  1.0459647e+00  2.8286648e-01 -3.9911032e-01
  3.8079019e+00  2.5472689e+00  3.5594797e+00  2.4330058e+00
  3.7602191e+00  3.5199375e+00  3.4786382e+00  3.0878272e+00
 -1.2342224e+00 -1.2308681e+00 -1.1265154e+00 -3.9107733e+00
 -2.3050165e+00 -3.6975484e+00  1.6028566e+00 -6.5317130e-01
  1.1171894e+00 -1.6304815e+00 -2.7782965e+00 -7.2084165e-01
 -2.0755577e-01  4.2959132e+00 -2.9465094e+00  3.2035847e+00
 -1.9806991e+00  7.1439886e-01 -3.8360987e+00  3.9818673e+00
  3.9628892e+00  4.4054179e+00  1.3871360e+00 -1.5808237e+00
  1.4141684e+00 -9.1818810e-02  2.7000833e+00  5.4840803e-01
  2.8933525e-01 -2.6236138e+00 -3.1751852e+00  2.3147054e+00
  1.8683705e+00 -1.0148065e+00 -2.9330442e+00 -1.3103757e+00
  5.9668684e-01 -2.7444427e+00 -3.4987543e+00 -1.2092659e+00
 -3.2791209e+00 -4.2173538e+00  1.5164285e+00 -3.5381296e+00
 -2.5215611e+00 -3.4763875e+00 -1.1120195e+00  4.0436797e+00
  1.4170179e+00 -2.8579893e+00 -1.5980375e+00 -1.9608667e+00
 -2.8075855e+00 -2.0972586e+00 -8.7996340e-01 -2.8733244e+00
  3.4274268e+00 -1.3747277e+00  2.0092974e+00 -4.8229170e-01
  8.4404707e-01 -1.1099975e+00  4.2172151e+00  1.6803627e+00
  3.4093070e+00 -3.2674868e+00  2.9521670e+00 -1.2902627e+00
 -6.1294270e-01  4.6871424e-01  3.9079127e+00 -3.1601639e+00
  4.2143254e+00  4.3005204e+00  2.9300690e+00 -5.9952021e-01
 -2.4052982e+00  2.6291251e+00 -1.5512707e+00 -1.3990250e+00
 -8.6547518e-01  2.1629205e+00 -3.7296700e-01  3.4274616e+00
 -1.1995745e-01 -1.3379664e+00  2.5184793e+00 -7.3239326e-01
  2.8901606e+00 -1.4888513e+00 -3.0974627e+00 -9.8966479e-01]"
CC(C)CC(=O)Nc1ccc(C(=O)N2CCCCCC2)cc1,0.9218903433017885,1.7114005284026383,2.8980511881063045,1,"[-3.3736918  -4.246861   -3.4825525   2.0587916  -4.103471   -3.1786919
 -3.118797    3.1395817  -2.1918685   4.0386977   1.2337837   1.7969146
  3.8082404   1.379416   -1.4602497   0.14336538  1.5220485  -0.34848
 -1.5256326   3.3509393  -1.1008861   3.6979275  -1.3784618  -3.383534
 -3.0211496  -3.3072367   1.8439918  -3.7847252   3.4623847  -1.8984444
  3.884091    3.3808174   3.5741334   1.1039729   3.6223984  -1.5110033
  4.5266566   2.0298476  -0.08184862 -1.1729596   3.8841329  -2.0603387
 -3.5790002  -0.5767474  -1.595248   -0.5520127   2.9480786   3.7168093
  3.9373822   2.158729    1.8544044   1.3297      1.9419932  -1.666559
  3.9019113   2.4906564   2.9104333   4.4258027   2.1708498  -2.0134926
 -1.5787997  -2.7019424  -0.755507    3.231022   -3.3059037   4.237062
 -2.103009    2.3994546  -3.7171319   1.2330861   0.97976685 -3.6479228
 -3.9985955   1.5300674   0.812273    1.2406678   4.14722     3.0216603
 -1.3566437   3.4390993   0.6302209   0.07254696 -0.22241592  1.1270137
 -4.2012014   2.5197783   3.8125682  -1.7371066   4.641909   -0.39285254
  2.8129134  -2.6832743  -3.2120922  -1.966213    1.1946783   3.2782626
 -3.1871958   2.1227384   1.9644747   1.2290983   2.4353857   0.28590488
 -4.0908504  -4.0587096   2.1292858  -1.4853225  -3.2242851  -3.8503551
  4.2960725   2.127501    4.2796397  -1.9989865  -2.9252863  -0.18932772
 -3.5396624  -2.5378704  -4.0350466   1.3354282  -1.1628151  -2.0683324
 -3.3860366   2.0874429  -3.9560852  -2.3679035  -1.7004156  -0.7263768
  1.5687151  -1.7758758 ]"
CC(C)CC(C)N(C)C(=O)c1ccc(Cl)c(N)c1,0.850686491077128,2.5822677604137283,1.6711646949719121,2,"[ 1.9816003  -1.4999924   1.2235513   2.2414765   0.10472727  2.0998611
 -1.8449872  -4.225421   -0.764292   -1.5621371  -1.0754039   1.4784303
  4.5081983  -2.53846    -0.6382673  -2.2067025  -1.3498273   3.3371696
 -0.5276456   0.65148544 -2.1209862  -1.1949313   0.737988    1.4143372
 -2.7881866   1.6226425   1.0780339  -1.3151155  -0.3326471  -2.5803146
 -2.602962    4.0846953   0.84713554  0.6217332  -4.199783   -0.14254951
  1.1059113   3.7030497   4.1871696  -3.423143    0.7170043   0.06499577
 -0.6519952  -1.2118454   1.6779122  -2.3220901  -0.614372    2.4671745
 -2.995873   -0.78342724 -3.8467731  -3.1683013  -3.868666   -1.4501798
 -0.75391436  3.3228078  -1.1100061  -3.0038137   2.806075    0.3866496
  1.5841861  -0.6988845  -0.83462906  3.7254906  -0.12558746  0.36724567
  3.0088916  -2.406691   -3.0717063   4.5540853  -2.3950276  -2.0386937
  0.23071432  2.0948796   4.3647046   2.8393784  -1.8301518  -3.532036
  2.9724069   4.330689   -2.9737506  -3.2930374  -1.3879828   3.9788861
  4.2494254  -3.7680287   0.23036861  1.6217923  -2.2438934   1.796843
  3.4359913  -0.08097076 -1.1841853   1.9377003   0.64993906 -1.9580061
  0.54748344 -1.3309665   4.582353   -0.01297045  3.733131    2.0395408
  0.36843538  4.4606776   2.011464    2.7074566   1.3361611   4.0249295
 -3.9169538   3.9089274   3.837995   -0.67704463  3.0136223  -0.26759744
  0.37969732  2.925837   -0.793236    0.9865627  -3.550099   -3.3665514
  1.2981453  -3.531696    1.3104982   4.408606   -3.5507846   4.608189
 -2.5016243   0.91645145]"
CC(C)CC(C)N(C)C(=O)CN1CCN(C(=O)C2CCCCC2)CC1,0.7387416265096791,2.6746947753234256,1.0190133572249698,3,"[-1.8468881  -1.0222063   3.7470827  -1.4747796   4.060477    3.8176932
  2.9203997  -0.48760414  4.618794   -3.8087544   2.8950415  -3.0885644
 -4.118627    3.2528262  -2.8070002   2.1777487   3.2464952   2.8657627
  4.504888   -3.655362   -3.0549972   1.008832    0.23318005  2.1086278
 -2.891932   -0.61575484  4.287729    2.3172407   4.134976    3.906836
  2.4800725   3.4149613  -3.2069304   2.5985765  -1.1089623  -0.8994765
 -0.9651556   3.543157    2.3780599   0.37872267  3.6673565   4.3011985
 -3.4983783   0.6119852  -0.71677375 -2.5982375   4.3698716   2.9478087
 -3.0373971  -2.6158442   2.681404    1.5925393   2.642364    3.6024961
 -0.02040386 -3.2000852   2.2243652  -1.9464548  -3.4607368  -2.2833705
  2.1577177  -3.0832877  -3.6198277   2.7828245  -3.2796247   2.985045
 -0.15351582 -2.3600936  -2.8913112   1.4096422   2.296379    4.1543117
  3.1327696  -2.7075548   4.522866    3.1127954  -0.5162709  -1.6530697
 -3.8669646   2.256557    2.6362062   4.432263    2.0091357   2.5410433
  4.347565   -0.7433977  -1.8842628   3.136828    3.6217265  -2.3231874
  2.5413604   1.7743692  -0.7964201  -2.4199657   2.8283272  -2.0755212
 -0.11991453  2.843462   -0.6544132   0.5214791   0.8835478  -4.1733828
  3.0933928   3.676705   -2.4591646  -0.55331254  0.03589058 -2.0469275
  2.4690557   3.5981412  -3.764603   -2.2815711  -3.0228539   1.8234239
 -2.5973396   4.59868     2.680015    0.7993989   0.1401596   1.48704
  2.554698   -2.1728392   2.7890391   4.5947404   1.8681726  -1.1739843
  0.63489246  3.0804238 ]"
CC(C)CC(=O)Nc1ccc(C(=O)N2CCCCCC2)cc1,0.9218903433017885,1.7114005284026383,2.8980511881063045,4,"[-2.46252108e+00 -1.85191679e+00  2.12128448e+00 -2.38755655e+00
 -3.35095596e+00  3.30655766e+00 -3.37408209e+00 -3.70342970e+00
  7.76502132e-01  9.47914600e-01  2.34939146e+00 -8.15083504e-01
 -3.03436089e+00  2.13973522e+00 -2.52734518e+00 -3.59214234e+00
 -4.52750683e-01 -7.43312836e-02  3.93971777e+00  4.14644718e-01
  4.56478167e+00 -1.81140542e+00  2.20988750e+00 -1.47480440e+00
  1.79912090e+00 -2.90477037e-01  5.79979897e-01  6.15052223e-01
  1.14435530e+00  7.17807770e-01 -2.30042458e+00  2.09354115e+00
  1.92004681e+00  1.11980009e+00  5.37352562e-02  8.65397453e-01
 -4.07427168e+00 -2.39014101e+00  3.49127483e+00 -5.24260998e-01
  1.80610752e+00 -4.02574301e+00 -5.67787886e-01 -3.02929282e+00
 -6.54395103e-01 -1.92422152e+00  2.35906601e+00  4.18859720e+00
  3.67188358e+00  9.69135284e-01 -2.56633759e-03 -2.82128048e+00
  1.61192369e+00 -6.31045341e-01 -3.06963301e+00  2.98443747e+00
  4.56541967e+00 -2.62834787e+00 -4.00673437e+00  8.62418175e-01
  3.16555119e+00  4.55432653e+00 -3.90576625e+00 -3.67700195e+00
  2.22419310e+00 -8.75443220e-01  4.39813375e+00 -1.00502014e-01
  2.42550611e+00 -7.27572441e-01 -4.03014183e+00 -9.53469515e-01
 -1.23034954e+00 -2.45934010e-01  3.93866587e+00 -2.19304562e-01
 -4.68338251e-01  1.04411840e+00  3.98750257e+00  2.80462122e+00
 -4.27508354e-02  2.58372545e+00  2.06138754e+00 -2.64833546e+00
  3.25416660e+00  2.85443783e+00 -6.23032808e-01 -3.38426638e+00
  1.25189781e+00  1.12013292e+00 -1.22519302e+00  3.60343313e+00
  2.22300053e+00  1.67458439e+00 -9.07407761e-01  2.64399052e-01
 -2.45805645e+00  3.84922171e+00 -2.94137192e+00  1.37748575e+00
  1.95648289e+00 -7.57896662e-01  1.75848675e+00  3.32311583e+00
 -3.50525999e+00  2.38042116e+00 -2.50212216e+00  3.52518988e+00
  1.76602793e+00  7.44984627e-01 -1.20860553e+00  2.92291784e+00
 -2.82032251e+00  3.68152475e+00 -1.98794222e+00  1.32112360e+00
  1.71091270e+00 -2.02298045e+00  1.67918205e+00 -2.41766882e+00
  9.05569553e-01  3.18603802e+00 -4.07164335e-01  1.77777290e+00
  1.71746922e+00  3.05416727e+00  1.54213762e+00  2.26658487e+00]"
COc1ccc(C(=O)Nc2ccccc2C(=O)NC(C)C)cc1OC,0.8456424358060388,1.682026487012763,2.5461856920174313,5,"[-1.7226222  -3.4133344   2.511673   -3.315103    1.9013672   3.2552624
 -3.3148634  -0.23525095  1.9957385   2.7776928  -1.6426458  -1.0377216
  0.68710184  0.21744251  4.5809712   4.0754256   0.93152857  4.1032414
 -1.1011581   0.48673248  1.6947131  -1.8702254   3.7312756  -2.4528239
 -1.0622573   1.1440282  -2.1663718  -0.16393471  2.826964   -3.5881476
  2.0870256   3.6642752   3.518281    3.2865906  -3.1390662   0.4011917
  4.5086684   3.5579047  -4.2410545  -1.4158595   1.493669   -1.8295133
  2.2469769   1.8072195  -1.4056945   0.8473563   2.8495631   0.5142102
 -1.9770417   3.8862128   2.096817   -3.6856263   0.20234442  3.8386674
  2.8036432  -0.29932404  2.1006274  -1.160496    2.1228213   2.805746
  2.389873   -1.942306    2.9046388  -0.08879137  1.8873725  -4.0972376
 -0.00802517 -2.5976367   0.25651264 -0.16137171 -3.3306131   1.5976839
 -0.03846979  0.8813906  -0.09430647  3.9790893  -2.2970634   2.0851383
 -0.3549993  -2.2995052   0.90428543 -0.3751645  -3.5858004  -3.0584905
  3.3464046  -1.6610482   2.959278    3.4759126  -1.2092516   3.8197532
 -3.325662   -2.4550054  -3.4259744  -3.9765487   0.0801487  -1.8152161
 -0.09083605  4.289224    2.2586231  -0.21948719  2.441853   -0.09546375
  1.8339291  -0.6935048  -4.073232   -0.85826397  3.7104893   1.8019981
 -1.1845574   0.32240582  4.60963    -3.9996414  -2.8240848  -1.9981987
  1.766437    2.908311    0.08345747 -2.2557728  -3.3128939  -0.2819364
  0.39383364 -4.116305    0.7445507   0.18588209  2.3357244  -3.1367335
 -2.5793183  -3.1231272 ]"
CC(C)CC(=O)Nc1ccc(C(=O)N2CCCCCC2)cc1,0.9218903433017885,1.7114005284026383,2.8980511881063045,6,"[ 3.742796   -3.6443455   3.1321187   1.0871186  -1.7539535   3.2680311
 -2.494018    0.6747098   1.2393184   3.4362173  -2.795165    1.0130839
  3.7211552  -1.7793155  -2.1719742   4.449867    0.49298906  2.3749928
  0.28767443 -1.727164    0.21040106 -2.4104571  -1.9326394   2.364912
 -0.00878477 -1.3684127   1.0510936   4.300628   -2.7997859   1.7857909
  2.8716674  -2.3172493  -0.75725794  2.2908044   2.9282603   3.9709735
  0.93841934 -1.2797437   1.8707662  -3.3743029  -0.2893684   4.1940284
 -3.2485704   4.3886237   1.6039886   1.6443357  -1.9523046  -0.24673748
  2.756641   -1.7233615  -1.5181351   3.003376    3.8145843   2.8077168
 -0.9661255   1.2053008   1.8861532  -3.2001326   1.611897   -0.618572
  1.8236661  -3.3860276   3.4146032   0.98809195 -3.672717   -0.79767585
 -1.5414019  -2.9791942   2.2622747   3.1969476   2.647584    3.818788
 -1.5141809  -3.8073332   2.320413    0.9469795  -2.1265283   3.1213188
 -1.4451606   1.7684822   3.3529048   2.581266   -3.1891453   3.466896
 -0.5604625  -1.3171592   0.8744216  -2.7282348   0.7109275  -3.701827
  2.4374037   2.5589294   1.6425257   1.1859031   4.0521026  -2.4017253
 -0.58029294  3.8189025  -3.1348095   2.9777188  -1.4842713  -3.7655692
 -0.23062658 -1.8750055  -0.39015722 -3.437141    0.3237834   1.9613118
 -3.04458     0.6238675  -3.2491632  -1.5189524   3.0724463  -1.6121881
  3.9158025  -4.225457    3.5996962  -3.5805273   2.7599144  -2.2226756
  0.54072523 -2.3198102  -1.8026104  -3.646294    3.317123    3.0261836
  2.4839087  -1.3639665 ]"
CC(C)CC(=O)Nc1ccc(C(=O)N2CCCCCC2)cc1,0.9218903433017885,1.7114005284026383,2.8980511881063045,7,"[-2.12238    -4.1304297  -2.176797    0.865355   -3.4320781   4.454498
  3.815454   -0.47708893  4.506003   -1.6360698  -2.5185316  -0.17971039
  3.0089545   4.155394    4.184278    4.055737    3.1747417  -3.4040115
 -0.47630906  2.6765037   2.742679    1.3877664   0.6298132  -3.096406
  3.4662142   2.4562483   2.4043283   1.3186378  -2.0475779  -2.1155417
  0.32099104  1.643848   -3.5289      0.0123415   4.150006    3.426641
  0.5557265   3.0075855   1.6318102   3.9203143   2.0712705   0.8667598
 -1.809578    3.2106333  -0.92703056  0.29356575 -0.36530042 -0.2766993
 -0.35840726  2.0771995  -0.15710402 -1.8419163  -2.4530816   1.3600578
 -3.6651406  -2.0645328  -2.8920994  -0.96210575 -1.1380394  -1.7731898
  0.52788496  1.8647351   1.7325096   0.93550444  3.1331606  -2.388419
 -1.9134214   0.10047579 -3.6087103   2.8982553   2.875268   -4.03706
  4.2785153   0.4462247  -1.964098   -3.0316749  -1.3649313  -1.1265795
 -1.9492373   0.2868762   0.36728144 -3.624133   -4.0315156   1.2681422
  4.2612004  -1.6041081  -0.6580088   0.38847876  3.1594486   0.592237
  0.6560526   0.95511293  0.7232866   3.7925239  -2.811534    2.979311
 -3.7772028  -0.18728161  4.491347   -0.3436396   1.8759437   1.9175973
  2.3125553   0.78036976  0.10401011 -2.0006676   3.125134    3.0066524
 -1.9411526  -3.5667667   3.6896968   3.0957794  -3.014277   -3.2142766
  2.5799747   3.4447422   3.567266   -1.5910094   4.3599954   3.6559014
  4.091397    2.8528347  -0.89390063  0.4683118   4.517405    1.7742863
  2.7331367  -2.6694422 ]"
CC(C)CC(=O)Nc1ccc(C(=O)N2CCCCCC2)cc1,0.9218903433017885,1.7114005284026383,2.8980511881063045,8,"[ 1.3511729e+00  1.2636137e+00 -2.3743398e+00  4.3489089e+00
  6.8988132e-01  4.1554360e+00 -2.6740129e+00 -3.3030097e+00
  9.2972231e-01 -2.1678586e+00 -3.3627276e+00  4.1206613e+00
 -9.3233395e-01  4.1226125e+00 -3.7326605e+00  1.9268055e+00
 -3.2534399e+00 -4.4430828e-01  1.3167949e+00  3.9763751e+00
 -9.6630049e-01  1.0308328e+00  3.0508342e+00  4.5155435e+00
  2.2314372e+00 -9.2825580e-01  3.6133795e+00  3.9128757e+00
 -6.9881463e-01  3.9111438e+00  1.4180965e+00  2.0017176e+00
 -1.9560657e+00  2.1241121e+00  3.4603376e+00  3.6360850e+00
 -3.8954186e+00  2.9155350e-01 -2.5720477e+00  4.1142631e+00
  3.5430822e+00  2.5937099e+00  8.6844730e-01  3.2057862e+00
  2.6283693e-01 -3.9030099e-01  1.1969609e+00  1.7789655e+00
 -8.9871454e-01  1.8217678e+00  4.5262742e+00  5.1323128e-01
  3.2902670e+00  2.9274454e+00 -3.7496591e-01  3.7538190e+00
  3.3701086e-01  1.5342941e+00  3.9790702e+00  3.3606353e+00
  4.4890165e-01 -2.0041418e+00 -2.3727417e-03 -3.7075889e+00
 -6.8227768e-01  2.7474084e+00 -2.8073349e+00  1.3685246e+00
 -1.6922255e+00  6.7630720e-01 -3.7679765e+00 -3.7150035e+00
 -8.7963438e-01 -2.2976494e-01  1.2370806e+00 -3.5271413e+00
  3.4337640e+00  1.2070584e+00  1.4407516e+00 -1.5285275e+00
 -1.9770348e+00 -1.8446872e+00  4.1802173e+00 -2.0846703e+00
  2.4583282e+00  2.3123388e+00 -1.9864254e+00  4.1870618e+00
  2.3249850e+00  1.4140563e+00 -6.9954920e-01 -2.8969793e+00
  1.4211278e+00  2.0945215e+00 -1.4220355e+00  2.1539726e+00
 -3.6650062e+00 -1.2744877e+00  5.9781265e-01  2.6176319e+00
 -2.9842634e+00 -1.0015488e-01  5.2075243e-01  3.5307231e+00
  3.4723763e+00 -1.9301827e+00  6.5132523e-01  3.4799151e+00
  3.0447483e-02  8.4091616e-01 -5.1152062e-01 -1.4440203e-01
  4.5728021e+00  3.7804246e+00 -3.2666755e+00 -3.6776135e+00
 -2.7285006e+00 -3.6727538e+00 -1.2187600e+00 -4.8061848e-02
 -1.5336168e+00  1.1718273e-02  2.3582649e+00  4.2346144e-01
  4.2789636e+00  1.1159573e+00 -1.1609385e+00 -1.4969523e+00]"
CC(C)CC(C(=O)Nc1ccc(C#N)cc1)N1CCCCC1=O,0.9080267947051603,2.6663764977393463,1.873757475786455,9,"[ 0.25829744 -3.989296    2.822145   -2.9893556   3.2880454   2.7918253
 -0.08886433 -0.7103362  -0.672786    3.2436118   2.4994183   0.7738948
  1.1701331   0.22784948 -2.6817307   0.02752161  4.331823    1.2483764
 -0.23185778 -3.3377612  -0.2053318   0.08183241  1.1275887   0.7020769
 -2.5248756   1.8792443  -0.7688465   2.884266   -3.2751353  -0.26146936
  0.23354149  3.8819737  -1.1208813   1.3674388   3.8702226   3.4001346
 -1.2846065   2.162911   -0.88463044 -2.9716783   3.0134492  -1.3266323
 -0.14760113  1.6256452  -0.10532045 -1.588382   -2.7300844   3.499156
  2.4070811   0.821403    2.1733446   3.2166066   1.2935452  -2.6846616
  0.9794674  -2.1752183   0.07693291  1.5668244   1.0126204  -1.2086813
  3.6028457  -0.26976633 -3.350116   -0.8732836   2.0926738   0.5678539
 -0.41343808  0.02986002 -0.700119    0.25932407  2.448584    2.1530333
  3.4966846  -0.6590612  -3.66033    -3.7346728  -3.7728958  -1.663187
  0.7020025   3.0458283   2.25289     4.4900126   2.8811488   2.9758606
 -3.0256972  -3.9259498  -3.1726937   0.07320023  2.6277723   2.841555
 -3.2772727   0.9606571   1.5680356  -3.0122828   1.3322253   3.840177
  1.5736952  -1.826405   -2.7066598  -2.2744246  -2.6535215   3.2111487
  2.369904    4.1910977   2.8995814   4.017058    3.3189373   4.571612
 -1.9949474  -1.4324782   2.8883224  -0.5048773   0.32693148 -2.4370766
  3.5030632  -3.7740512  -2.7300935   0.6981411  -2.0062168   1.1556535
 -4.19405    -0.44956255 -3.9108806  -0.19003105  0.53691864  3.6141033
  0.16402245 -4.1099586 ]"
