,x,y,prop
0,-10,-10,4.070800000000003
1,-10,-9,4.021333600000003
2,-10,-8,3.297052000000002
3,-10,-7,2.8341400000000014
4,-10,-6,2.8341400000000014
5,-10,-5,2.8341400000000014
6,-10,-4,2.8341400000000014
7,-10,-3,4.108800000000003
8,-10,-2,4.081744000000003
9,-10,-1,4.078076000000003
10,-10,0,3.327852000000002
11,-10,1,3.459796400000002
12,-10,2,2.9213752000000017
13,-10,3,2.9359144000000015
14,-10,4,3.100232000000002
15,-10,5,2.6384124000000013
16,-10,6,2.875774800000002
17,-10,7,4.226300000000004
18,-10,8,4.226300000000004
19,-10,9,4.226300000000004
20,-10,10,4.226300000000004
21,-9,-10,4.070800000000003
22,-9,-9,2.821651200000001
23,-9,-8,2.8341400000000014
24,-9,-7,2.8341400000000014
25,-9,-6,2.8341400000000014
26,-9,-5,2.8341400000000014
27,-9,-4,3.3018428000000015
28,-9,-3,3.397546000000002
29,-9,-2,3.861264000000003
30,-9,-1,4.079852000000003
31,-9,0,4.108800000000003
32,-9,1,4.092982800000003
33,-9,2,5.253287600000005
34,-9,3,3.6959040000000023
35,-9,4,3.5611000000000024
36,-9,5,3.546560800000002
37,-9,6,2.625030000000001
38,-9,7,3.995096000000004
39,-9,8,4.226300000000004
40,-9,9,4.226300000000004
41,-9,10,4.226300000000004
42,-8,-10,2.2097
43,-8,-9,2.8341400000000014
44,-8,-8,2.8341400000000014
45,-8,-7,2.8341400000000014
46,-8,-6,2.8341400000000014
47,-8,-5,2.900386000000002
48,-8,-4,3.2752040000000027
49,-8,-3,3.326932000000003
50,-8,-2,3.8361320000000023
51,-8,-1,3.522516000000002
52,-8,0,2.908992000000002
53,-8,1,3.050852000000002
54,-8,2,3.1165500000000015
55,-8,3,3.484050000000002
56,-8,4,4.075740000000003
57,-8,5,3.5611000000000024
58,-8,6,3.542312000000002
59,-8,7,2.5869120000000017
60,-8,8,4.114336000000003
61,-8,9,4.226300000000004
62,-8,10,4.226300000000004
63,-7,-10,2.834140000000001
64,-7,-9,2.8341400000000014
65,-7,-8,2.8341400000000014
66,-7,-7,2.8341400000000014
67,-7,-6,2.170338000000001
68,-7,-5,3.0971340000000023
69,-7,-4,3.3188520000000024
70,-7,-3,3.3406760000000024
71,-7,-2,3.3402780000000023
72,-7,-1,3.3518140000000023
73,-7,0,3.256896000000002
74,-7,1,3.0426360000000012
75,-7,2,2.4427080000000005
76,-7,3,2.3570040000000008
77,-7,4,2.2713000000000005
78,-7,5,2.3815500000000007
79,-7,6,3.5611000000000024
80,-7,7,3.5611000000000024
81,-7,8,3.8856500000000023
82,-7,9,3.9910000000000023
83,-7,10,4.2168880000000035
84,-6,-10,2.8341400000000014
85,-6,-9,2.8341400000000014
86,-6,-8,2.8341400000000014
87,-6,-7,2.124046000000001
88,-6,-6,2.9717180000000023
89,-6,-5,3.2360420000000016
90,-6,-4,3.3612000000000024
91,-6,-3,3.3625000000000025
92,-6,-2,3.3625000000000025
93,-6,-1,3.3188520000000024
94,-6,0,3.351356000000002
95,-6,1,3.300146000000002
96,-6,2,3.283876000000002
97,-6,3,3.0007320000000015
98,-6,4,2.3251020000000007
99,-6,5,2.2713000000000005
100,-6,6,2.0717000000000003
101,-6,7,3.7223540000000024
102,-6,8,3.5235240000000023
103,-6,9,3.9910000000000023
104,-6,10,3.9910000000000023
105,-5,-10,2.508553200000001
106,-5,-9,2.7258256000000016
107,-5,-8,1.303208
108,-5,-7,2.6425660000000017
109,-5,-6,3.947800000000003
110,-5,-5,3.6869540000000023
111,-5,-4,3.356930000000002
112,-5,-3,3.3625000000000025
113,-5,-2,3.334882000000002
114,-5,-1,3.3406760000000024
115,-5,0,3.356706000000002
116,-5,1,3.277984000000002
117,-5,2,3.391164000000002
118,-5,3,3.5035040000000026
119,-5,4,3.169032000000003
120,-5,5,1.5846960000000023
121,-5,6,1.3982580000000018
122,-5,7,1.3531399999999996
123,-5,8,3.221206000000002
124,-5,9,3.8328320000000025
125,-5,10,3.9910000000000023
126,-4,-10,1.3905604
127,-4,-9,1.0964299999999998
128,-4,-8,2.104670000000001
129,-4,-7,2.8659740000000022
130,-4,-6,4.283154000000003
131,-4,-5,4.230036000000004
132,-4,-4,3.2887320000000027
133,-4,-3,3.3099500000000024
134,-4,-2,3.289882000000002
135,-4,-1,3.292322000000002
136,-4,0,3.2873800000000024
137,-4,1,3.165108000000002
138,-4,2,3.221074000000002
139,-4,3,3.5677840000000027
140,-4,4,3.7075080000000025
141,-4,5,3.5249080000000026
142,-4,6,1.3836100000000022
143,-4,7,4.142610000000004
144,-4,8,2.083348000000001
145,-4,9,1.7016380000000009
146,-4,10,3.942614000000002
147,-3,-10,1.0288999999999997
148,-3,-9,1.5267080000000004
149,-3,-8,2.3657700000000013
150,-3,-7,3.434846000000003
151,-3,-6,3.846260000000003
152,-3,-5,3.318788000000002
153,-3,-4,3.263820000000002
154,-3,-3,3.369852000000002
155,-3,-2,3.2202620000000017
156,-3,-1,3.1885580000000022
157,-3,0,3.0560260000000024
158,-3,1,3.0440320000000014
159,-3,2,3.005232000000001
160,-3,3,2.950464000000001
161,-3,4,2.974560000000001
162,-3,5,2.727040000000002
163,-3,6,2.0475240000000015
164,-3,7,3.130830000000003
165,-3,8,4.648500000000004
166,-3,9,4.519460000000004
167,-3,10,1.5717000000000008
168,-2,-10,1.4654800000000003
169,-2,-9,2.4921320000000016
170,-2,-8,2.949666000000001
171,-2,-7,3.316636000000002
172,-2,-6,3.2874000000000025
173,-2,-5,3.5943680000000024
174,-2,-4,3.555030000000002
175,-2,-3,3.5564740000000024
176,-2,-2,3.463308000000003
177,-2,-1,3.5448200000000027
178,-2,0,3.405508000000002
179,-2,1,3.658308000000003
180,-2,2,3.479774000000002
181,-2,3,3.2052140000000025
182,-2,4,3.099864000000002
183,-2,5,2.6208420000000014
184,-2,6,2.511978000000001
185,-2,7,2.5307720000000025
186,-2,8,4.648500000000004
187,-2,9,4.648500000000004
188,-2,10,2.0204880000000016
189,-1,-10,3.988460000000004
190,-1,-9,4.169040000000003
191,-1,-8,3.576832000000002
192,-1,-7,3.5042040000000028
193,-1,-6,3.5026900000000025
194,-1,-5,3.5724480000000023
195,-1,-4,3.3817960000000027
196,-1,-3,3.445860000000003
197,-1,-2,3.550680000000002
198,-1,-1,3.445860000000003
199,-1,0,3.456278000000003
200,-1,1,3.593098000000002
201,-1,2,4.237922000000004
202,-1,3,4.088446000000004
203,-1,4,4.0306520000000035
204,-1,5,3.7793840000000034
205,-1,6,3.4905340000000025
206,-1,7,2.757682000000002
207,-1,8,4.429332000000003
