gen_SELFIES,gen_SMILES,gen_qed,gen_sa,obj,iter,z_value
[C][C][=C][C][=C][Branch2][Ring1][=C][C][=Branch1][C][=O][N][C][C][C][Branch1][S][C][=Branch1][C][=O][N][C][C][C][Branch1][C][C][C][C][Ring1][#Branch1][C][C][Ring1][#C][C][=C][Ring2][Ring1][#Branch1],CC1=CC=C(C(=O)N2CCC(C(=O)N3CCC(C)CC3)CC2)C=C1,0.8368272761994737,1.8547081433565342,2.329428237640834,0,"[ 1.3177228  -2.3419454   3.1037865  -0.06795502  3.168213    1.9128289
 -3.7340064   1.3267312   3.1239352  -0.14426231 -1.0354378   1.9356766
  3.294135   -2.116629   -3.0909753  -3.8803868   1.0505342   1.7324176
  2.5355978  -2.7941306  -4.131775    2.8000512  -3.6673892   1.8897882
  0.56180286 -3.1089778  -1.4157944  -3.7019048   2.9878497  -2.0730774
 -1.2833774  -1.525692   -3.5329154  -2.277498   -0.7521837  -2.324783
  1.6070299  -1.671721   -4.4156823  -3.4039598  -0.67435074  2.010971
  3.4432616   2.634944    2.7105818   0.90099144 -4.3860846   3.6267672
  1.0615048   1.4529266  -3.6763618  -0.10356712  0.04648542 -1.5565817
  2.1533375   0.48920488  1.5361528  -1.2000303   0.28355837 -2.4995413
 -0.10004711 -3.4962523   0.9963498   3.3432164   0.6430931  -1.6739407
 -4.317284    0.9779415   1.6158309  -1.5095057   1.4918165  -2.459536
  2.859754   -2.4222713   0.9275508  -0.05152464  2.0997453   0.85854006
 -4.110674   -3.0341997  -1.4182103   1.1610136   2.7446246  -1.492265
  3.2265034   3.4713202   2.3307252   2.6964412   1.0390034  -3.525488
  0.8788419  -4.240731   -2.7842555  -2.7598007  -0.5434079   2.8295217
 -3.5913444  -3.778256    0.17548895 -2.2111435   1.9533286   3.3677778
  0.89765453 -3.4017742   1.4499464   2.2922044  -1.3234465  -4.285208
 -0.4142127  -0.08537054 -1.5414257  -1.2195654   0.87462664  3.159429
  3.4745746   1.9273977  -2.5793734  -1.4144752  -2.9305954  -0.07924461
 -3.2376485  -4.4034595  -3.227806   -3.8802543  -4.033777   -3.0712872
  3.354044   -2.6818223 ]"
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][#Branch2][C][C][=C][C][=C][C][=N][Ring1][=Branch1][C][Ring1][=N],CC1=CC=CC=C1CNC(=O)C2CC(=O)N(CC3=CC=CC=N3)C2,0.9159237848068116,2.4747974133709167,2.1048215106631414,1,"[-2.60527754e+00 -4.04803610e+00 -4.18453312e+00  1.15902042e+00
 -4.22958422e+00 -2.75246620e-01  4.22014236e+00 -9.09152985e-01
  3.78283024e+00 -2.62490606e+00  4.16275978e+00  1.39503002e-01
  1.63119793e+00  2.46370173e+00 -6.08026743e-01 -5.29188156e-01
 -2.58218813e+00  1.15590096e-02 -8.21526527e-01 -1.45929599e+00
  2.02097368e+00 -1.85846210e+00 -2.07829809e+00  9.57229614e-01
 -4.33497000e+00 -3.23204684e+00  3.68274879e+00  1.72211695e+00
  6.95185184e-01  3.14699507e+00 -8.63954306e-01  2.36042976e-01
 -4.23672485e+00 -1.79888964e+00  3.16202974e+00 -3.62351418e+00
  3.54863834e+00  2.56365824e+00 -4.04386950e+00  3.15820503e+00
  1.43118382e-01 -1.78567648e+00 -8.49889755e-01 -1.06758595e-01
  3.61479187e+00 -2.67658234e-01  3.03167820e+00 -4.33114100e+00
  9.70015526e-02 -4.16950226e-01 -5.32137871e-01  2.12272930e+00
  1.93938208e+00 -2.63421535e+00 -3.38337636e+00 -2.33455396e+00
  3.14662313e+00  1.09184313e+00 -1.57535720e+00  3.51701593e+00
 -1.63097596e+00  1.01092720e+00 -3.04915857e+00  3.57886887e+00
  3.43761492e+00 -3.77030730e+00 -2.74523687e+00  2.76901865e+00
 -4.24283600e+00 -1.96268082e-01 -4.17333794e+00  3.04209709e-01
  8.53880405e-01  1.53724480e+00 -4.16653967e+00  1.62790775e+00
  1.26081944e+00 -2.46019197e+00 -3.62104416e+00 -3.34126711e+00
 -8.82367611e-01 -9.75200891e-01 -1.37082362e+00 -7.85105228e-01
  2.86705923e+00 -2.59794283e+00 -1.97373962e+00 -3.92514467e+00
  3.38363123e+00 -5.72302341e-01  2.10284424e+00  6.64340973e-01
  3.49093962e+00 -1.75855565e+00  7.10945606e-01 -1.05246711e+00
 -1.28210568e+00 -3.74293017e+00  2.74264336e-01 -5.01771927e-01
  1.82688665e+00 -8.72069836e-01  1.33572340e+00  1.67645884e+00
  3.68101120e+00 -2.56943488e+00 -1.79290771e-04 -5.76687813e-01
  1.08315134e+00 -2.95395279e+00 -3.29801798e+00 -3.86267662e-01
  3.79409027e+00  2.60479259e+00  2.67720222e+00 -2.48549604e+00
  4.19731712e+00  1.35932159e+00 -1.93570518e+00 -2.31753492e+00
 -1.31853127e+00 -3.92629313e+00  2.82750988e+00 -2.38692904e+00
 -2.78761101e+00 -3.31054449e+00  1.87392330e+00  1.83948469e+00]"
[C][C][C][C][C][C][N][Ring1][=Branch1][C][=Branch1][C][=O][C][N][C][C][N][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][C][Ring1][=N],CC1CCCCN1C(=O)CN2CCN(C3=CC=C(O)C=C3)CC2,0.9250665408041052,2.4335421445924936,2.191790559428032,2,"[ 0.58115625  0.7483287  -2.403679    2.9316087   1.2821279  -0.3023882
 -1.3508646   0.12572908  4.223279    0.48307896  1.0661492  -2.3114607
  1.1426716  -1.8654563  -0.9076488   0.08081579  4.013606    3.275363
 -4.3302464  -0.13418484 -2.6905408  -3.768133   -2.610736   -2.0564966
  4.035202    1.6610398   1.9599471  -2.9696112   0.83974314 -3.413905
 -2.024549   -1.9248242   2.4752684  -3.276112   -3.486542    1.4839272
 -1.1131308  -4.0065374   2.6127143   1.9657393   2.4231567   2.7220445
  0.2461958   3.146678   -2.8288987  -1.6786191   2.8365192  -3.8116834
  1.1574106   2.127513   -2.274745   -1.7707291   1.1112151  -0.92637134
 -3.863023    2.9294715  -2.9797149   1.6932726  -2.5303535   2.6804376
 -3.4995122   1.7681713   3.79712     0.1769762  -0.74760795 -1.7647502
 -2.0200307  -2.437858   -1.0728004   0.44638157  2.1904578   3.3372083
 -2.2092578  -0.8427088   0.78635883  2.9196262  -0.24775505  0.25400877
  3.7975998  -3.1608078   0.35233688 -2.8478966   2.7564278   0.39062595
 -3.8565888  -2.1765087   3.3396058  -0.70519304  3.4450321   4.231079
 -3.0862594  -1.075161   -3.7846403   1.0990863   1.293448   -2.9807959
 -3.6885176   3.6939926  -3.5726023  -3.9380822   3.281457   -0.8265512
 -1.1184719   2.7041855  -3.9943721  -1.9150512  -2.8531284  -1.5383449
  2.4321804   1.7280207  -3.6457238  -0.08578682  4.240181   -0.9787531
 -0.63237214  1.8655205  -3.8210511  -4.411556    2.131822    3.380155
  2.388986    1.1170454  -1.9017344   1.7087002  -2.2417674  -0.18920851
  2.8184776   3.5455756 ]"
[C][C][Branch1][C][C][C][C][C][C][Branch1][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][O][Ring1][Branch2],CC(C)CCCC(C)NC(=O)C1=CC=C2C(=C1)NC(=O)CO2,0.8487785850471113,2.6475240321414244,1.596368893094132,3,"[ 1.6220474   0.44687366 -0.8460219  -0.5807185   0.12086582 -1.321512
 -1.2199318   2.2593064   2.8497777   0.3100419  -1.8891928   1.667614
  1.1777945  -2.6027288   2.9486156  -1.1088719  -1.305542   -2.8011742
  2.15487    -3.2205257   0.32903576 -1.1780632  -1.9937658   2.4466057
  2.112969   -4.34988     4.246333    0.8840847   3.1600022   1.6278281
 -4.042054    0.36636972 -2.9206643  -0.8612981   0.6223693  -1.6291087
 -2.2157109  -2.400332   -4.183921    3.9717808   2.781283    1.9172049
 -0.15280247 -2.6439266   2.1904035  -2.6993604  -3.81937    -4.198385
 -3.017946    1.0330014  -3.995973   -3.9171531  -1.4903445   2.4435868
 -2.9780822  -3.3835707   1.2159677   3.7684631   2.7966037  -0.7092962
 -3.1223028  -3.6205642  -1.3238962   2.0374727   1.3998656  -1.0988681
  4.011709    1.0183158   3.3642688   1.1428986   3.2759972   0.61468315
  3.3176966   2.5243926   0.5887532  -2.7618499  -1.8219788  -0.48067904
 -1.9928496   1.5188313  -3.3180416   0.3936286  -2.7407405  -4.2847486
 -2.733757   -2.6976886   1.8317075   3.4544883   2.7996235  -3.5087347
  1.0505776  -3.79533    -2.2600312  -3.377079   -4.386723    4.2282457
  2.9676714   2.020502    0.49759388  0.80800676  0.79250956 -1.6863794
  0.26182413 -3.0854926  -1.5897937   4.000453    2.07381     1.6039872
  0.17332315  3.234508   -2.7544832  -2.6303625   0.2515397  -0.8201504
 -3.1026945   0.6094837  -1.1699257  -3.7647161   2.4845924   1.4747024
  1.4845352  -4.3311906  -1.9231491  -1.9059017  -3.9887412  -0.6154299
  0.23479462 -4.1462173 ]"
[C][C][C][C][C][C][C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][C][C][C][C][C][C][Ring1][=Branch1],CC1CCCCC1NC(=O)CC2CCCCC2,0.7972634996840605,2.678807785392742,1.3075097130275606,4,"[-2.7542529e+00 -3.1496005e+00 -4.3488503e-02 -3.7727499e-01
 -2.2351196e+00 -2.7619998e+00  2.9863887e+00  2.5984702e+00
 -3.7103941e+00  2.3627019e+00  1.8626485e+00 -3.4646895e+00
 -2.9815886e+00  9.1279507e-01 -2.9412823e+00  4.1697493e+00
  3.8959188e+00  3.8388033e+00 -1.3888359e-01 -3.6238990e+00
  3.0686707e+00  4.0157690e+00 -3.3171859e+00 -1.7327580e+00
  5.1611805e-01  4.2330332e+00 -2.1218405e+00  9.2164946e-01
 -1.6813548e+00 -8.2127380e-01  1.6566792e+00  3.5938549e-01
 -2.5960827e-01 -1.1314585e+00  1.7136345e+00  2.2099738e+00
  3.9315147e+00 -2.0258734e+00 -3.3732095e+00  3.7689123e+00
  5.0764799e-01 -4.2150364e+00 -1.5546584e+00 -3.0641475e+00
 -1.6182902e+00  8.0648375e-01  2.3169241e+00 -2.5489044e-01
  1.1193337e+00  2.2255130e+00 -8.0685258e-01 -1.3178890e+00
  4.0574074e-03 -1.7698717e-01  1.5673237e+00  2.3299274e+00
 -1.4017036e+00  3.8861427e+00 -4.1321473e+00 -1.3851249e+00
 -2.5098228e+00  1.3759689e+00 -8.9431572e-01  1.8837757e+00
  2.1071725e+00  1.9363718e+00  2.6732922e+00  1.1909652e+00
  3.6015673e+00  3.9497442e+00  4.2053003e+00  1.8383951e+00
 -4.6260476e-01 -1.7236366e+00 -3.8248913e+00 -3.4098768e+00
 -1.5428519e+00 -1.0884702e+00 -3.6191678e+00 -2.2445416e+00
 -1.7135925e+00 -4.6221924e-01 -4.0451593e+00 -1.6513760e+00
 -3.2358947e+00 -2.0134735e+00 -2.5383720e+00 -1.9411941e+00
  7.5304508e-02 -4.2642131e+00  2.4816170e+00  2.8648915e+00
  1.3339076e+00 -4.0356545e+00 -4.2427087e-01  4.0913687e+00
 -1.0890484e-02  1.6446323e+00  4.2129326e+00 -2.0593007e+00
  2.6449466e+00 -3.4039788e+00 -2.2964072e+00 -1.5632648e+00
  2.6471858e+00 -1.4121895e+00 -1.8339634e-01  3.1286497e+00
 -3.6138921e+00  3.3152819e+00  2.4398885e+00 -2.7236166e+00
 -2.2030315e+00 -1.2143431e+00 -1.6804934e+00  2.4294758e+00
 -1.3653479e+00 -3.5119669e+00  9.5550013e-01 -1.4469881e+00
  1.6059694e+00 -2.9638462e+00  1.9525037e+00  3.2182131e+00
 -3.7511353e+00  2.3157988e+00 -1.2583768e+00 -2.5125780e+00]"
[C][C][C][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][Br],CCCNC(=O)CNC(=O)C1=CC=CC=C1Br,0.8692772482263423,1.696941213591785,2.649445027539927,5,"[-4.0808873   0.52515984 -0.7668531   1.3030586   2.0074692   0.73979664
 -3.567923    0.6577215  -1.4149599  -2.6697693  -1.9542365  -1.4969254
 -3.6630125   3.6512413   4.0590925   2.7293425   1.1716428   3.1246872
  2.2375188   1.3818026  -0.25671148 -3.9832108  -0.9609108  -2.5666995
  3.8061666   1.8071923  -1.7543409   4.145174   -2.4894447   1.0360026
  3.74574    -3.0160317   3.4849563   4.1398325   1.8279357   2.0420632
 -1.7553914   1.5501094   1.5225482   3.1369104  -1.220489    0.24236155
  2.9947362  -2.5927649  -0.13401842  1.5080414  -2.6972947   3.782998
 -3.0471206  -2.7238321   2.1726727   2.548707   -0.72985435  3.3811388
  2.0180554  -0.5317199   3.5324154   0.9346924   3.8252392   2.7727113
 -3.6342373  -0.82272434  1.5330033  -3.6265697  -3.8484573  -4.3803315
 -0.16867638  2.643382    0.50296545  3.5679708  -2.8985968  -1.2479224
  2.9669752   0.8415332   2.3871155  -4.115583   -0.50629807 -3.2307827
  0.5276518   3.2957792   3.3522582   0.13188505 -1.323302    1.3647332
 -1.8920162   0.5832186   0.41364002 -4.329543   -3.8649638  -0.88465023
  1.3080153   3.3056922  -0.47487187 -3.5184023  -3.8076293   2.3748474
  0.41983795  1.8275776   3.5024385   2.450829    1.0977569  -2.3966246
  3.861309    4.0609245   2.6226802   2.2928715   0.45918894 -1.983232
  0.23280191 -4.0927477   2.3197527   3.5550861  -0.40573454 -2.3615375
 -2.389074    4.0804415   3.6995697  -3.5126002   2.4832816  -3.6373124
 -2.3329744  -1.2628732   3.3316474  -1.1113875   1.3098087  -1.3744988
 -0.31883097  3.0951328 ]"
[C][C][O][C][=Branch1][C][=O][C][C][C][N][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl],CCOC(=O)CCCNC(=O)NC1=CC=CC=C1Cl,0.6233799376450069,1.7172802933068105,1.3996193949182238,6,"[ 2.0913777   3.351119   -1.1629903  -2.8888927  -4.3716307  -1.8743613
  3.6474314  -3.7290812  -3.5519023   3.0104413  -3.1799357   2.3433108
 -4.057      -3.2594185   3.2403345   3.4547296  -3.097567   -3.4014783
  2.0999942  -2.7352467  -2.549766    1.1462016   1.1265182   3.6568317
 -2.6386828   1.473278   -1.9917006  -2.2559285   4.098015    0.20110941
 -0.6651852   0.8146329  -3.283545   -3.5128207   3.8429308   3.423921
  0.26956844 -0.84642434 -0.7871635  -2.1106994   1.8971605   1.5402675
  4.1073484   2.880219    3.2317586   1.128645    2.1629357   0.5690985
 -1.2493227  -3.8399544  -1.8414061  -0.97840405  0.58070946 -1.1989596
 -2.8660765  -1.5147786   1.9136477   1.0065885   2.696581    0.01137304
  1.8123403   2.4114513   2.0372167   0.14738035 -2.4491377  -3.9151745
  1.9992394   0.2142582   0.9154949   1.3061528   2.3444643  -3.1454024
  3.3179078  -2.9673665   2.7774673   0.2119751  -4.1735115   3.7340631
  1.0704489  -3.7713437  -2.730742   -2.415848   -1.0812342   2.1693206
 -1.3735647  -0.5307567   2.940701    0.65858173  1.7365975  -0.9270904
  2.6747613   0.3262148  -1.4712794  -1.4189973  -3.4306436   2.8231711
 -3.279769    0.84762955 -0.10271549 -1.2031858  -0.02586079 -3.9858012
  3.6299992   3.1574688   0.70566225 -1.5617931   0.17075682 -3.7460482
 -1.9767742  -2.8897896   3.8125763  -0.47762394 -2.3310204   0.67122746
 -2.2513323  -2.0197442   1.9268837   0.25612068  3.2183757   3.461801
 -2.9173808   3.8179436  -3.7567494  -1.2533562   1.5175519   3.4523878
  3.9812622  -2.8420281 ]"
[C][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][Br],CC(=O)NCC(=O)NC1=CC=CC=C1Br,0.8753194088580826,1.6891601356894697,2.687436908600943,7,"[-2.359928   -1.5072818  -3.4897857  -0.73235154  2.6181602   0.4040742
  4.1685038   3.3027487  -0.7243202  -1.0763862  -0.22586727  1.6103482
 -4.402215    0.9450412   0.6067891  -4.20422     3.6622105   4.074355
  3.8992596  -1.3837309  -3.8816695  -1.4890435  -0.7000377   0.03595829
 -2.9928856   2.5028424  -1.4971015  -1.5324087  -2.043765    0.08074903
 -2.9830172  -2.468936   -1.0130029   3.5201745   3.3046093   3.410829
  1.5643935   0.8274417   3.6230145   0.17022896  0.80056524 -0.45023322
  2.82063    -3.6068654  -2.8919854  -0.96608925 -1.9974072  -1.3120334
 -3.0067887  -1.4496679   3.9167156  -0.5374503  -3.543254    3.0832868
 -4.4148617   3.564561   -0.17636347  2.3250103  -3.8476102  -0.90070176
 -2.252121   -2.266243   -2.9159074   3.6067686   3.173911   -0.17240095
  1.766531    2.232376    4.124978   -1.7460086   1.3321981  -2.598837
 -1.3546789   1.1118355   3.567141   -2.3513994  -3.9979346  -2.0853882
  2.2654114   2.1498299   0.21747398  3.676053   -3.7979612  -0.43605113
 -3.012855   -1.0674047   3.3246336   2.4955997  -3.1272268   3.1257753
 -2.006864   -1.2100399   3.3707623   3.9224157   0.8543868  -2.716035
  3.8244095   3.693757   -2.7973661  -3.8172064  -2.548949    3.3611517
  0.83174086 -4.173773   -3.645537    2.5409017   2.1998162  -0.0603652
  3.4087896  -1.26332    -2.544599   -2.2121992  -4.0916224  -4.3732867
 -3.0310411   1.1264157   3.9364614   1.913796    3.4042635  -1.2828059
 -0.01396942 -0.6296902   1.5394096   0.32649946  2.145298    0.39745712
 -0.56842256 -2.1164029 ]"
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][N][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][F],CC1=CC=CC=C1CNC2=CC=CC(F)=C2F,0.8477252578252397,1.7363886972251716,2.502237591901027,8,"[-3.848409    0.2202568  -3.0265496  -4.3186965   1.815094   -3.708696
  0.8657956  -1.4527326   3.167685    1.2985792   0.39209604  2.6462684
 -3.9287457   3.020215   -3.215899    0.74280834 -2.1499202  -0.3001399
 -1.2147477  -1.1055152  -2.0352263   2.3963647   3.2709832   2.3293495
 -3.9377074   2.461357    2.7864642  -4.2673535   3.5284557  -3.3738484
  2.0985374   3.733407   -3.5490966   2.3061533   1.0792966   0.7476797
 -2.152731    1.8115811  -2.9858522   2.8667808  -2.7419968  -3.753514
  1.0033059   1.0765038   4.073312   -2.81083     1.5858197   0.2751217
  2.1467395  -0.77365494 -4.3616357   1.2137966  -0.09493637 -3.9523468
 -2.3128898   4.0450974  -1.891846   -4.117573   -2.1845732   3.054699
  2.3860192   1.5770612   2.2906876   2.1313844   0.69876385  3.1923823
  2.6811104   1.2513757  -3.817836    0.773417    1.4886003  -2.2905273
 -3.5031831  -0.82306194 -1.9057851   2.0987191   1.3534408  -4.16785
  1.7214351   2.5402179   2.3046227  -1.1058524  -1.4183326  -2.382348
  0.48318052  0.09612179  0.8876176  -0.2382474   0.26930666 -2.7837324
 -3.1718569   0.78240395  1.800086   -1.9971557  -1.3215072   4.0967693
  2.6688952  -2.0027566   0.12004709  3.7824306  -4.399508   -2.2546453
 -1.4483106   2.4890013  -2.689128    3.1781764  -2.997558   -3.2359147
  3.298306    0.852509    3.0000834   0.65113544 -2.8791666   0.22428465
 -3.2617512  -0.89317703  0.83185005 -1.3960085  -0.23425436  1.6952782
  3.03652     2.5700703   1.2956386   2.7773924  -3.3029459   0.25687027
 -3.711382    3.5446053 ]"
[C][C][=C][C][=C][C][Branch2][Ring1][Branch1][C][=Branch1][C][=O][N][C][C][C][C][C][Ring1][=Branch1][C][N][C][=C][C][=N][Ring1][Branch1][=C][Ring2][Ring1][Ring2],CC1=CC=CC(C(=O)N2CCCCC2CN3C=CC=N3)=C1,0.868423911489846,2.5482299195986915,1.7938896378505387,9,"[-1.6122591   3.8521175  -3.8572948  -1.985688   -2.073055    3.7018366
 -4.1943192  -0.36394215 -0.8451843  -3.478382   -0.95629406  0.24277353
 -3.2063618   3.6556778   0.22784567 -1.7655842   1.7882118  -0.922076
 -1.7995439   2.56638    -1.8351445   0.42662573  1.5438442  -0.42395973
 -2.0894287  -3.7071395   1.423657    3.2895198   0.454556    1.7459521
  4.133463    0.21242285 -2.130822   -3.4244041  -3.084722   -0.4816494
  0.5305133  -1.5744662  -3.410645    3.375587    4.0601215  -0.3804946
 -1.618226    2.8979678   1.6766644  -2.7203727  -2.0360222   1.6658196
  0.06270361 -3.967393   -2.2049057   2.9190273   0.7674041   0.37976313
 -1.8212473   1.4297385  -4.144456   -1.9248047   0.33213568 -3.9262471
  1.6889687  -1.1162405  -0.70816994  4.010065    0.45326757 -2.0864632
  3.023018   -2.7472332  -0.59015393 -2.7621229  -2.5328498  -3.518159
 -4.0461555   4.223811   -1.7839262  -2.3989663   1.8836131  -2.7269623
 -4.374203    1.6849146  -1.8629467  -3.5521836  -0.27195168 -1.7872231
  3.7517853  -2.7558992  -2.8782778  -4.29381     2.277266   -0.6111195
 -2.0255466  -1.8367352   1.5644059   3.1899462   0.49400854  3.2951689
  0.12242746 -0.39821148 -3.18709     3.987811   -0.5474186   0.04752922
  0.82341623 -2.455824   -1.5998874   0.9378152  -2.490195   -0.41538668
  1.8017211  -2.323648    3.5000324   2.0075526   3.6657276  -1.7618198
  2.848907   -0.8464012   3.5707536   3.0629292  -0.08974314 -2.4596586
  3.265133    0.6939235   2.472495    1.3632808  -1.6062808   0.04601574
 -0.6006439  -4.16765   ]"
