source,data set,string,samples,QED_mean,QED_std,SAS_mean,SAS_std,logP_mean,logP_std,obj_mean,obj_std,valid,unique,% in ZINC moses,% in ZINC250K train,temp unique(1000),seed in temp,arg unique(1000),seed in arg,mu mean,mu std,std mean,std std
train Data,ZINC,SMILES,249000.0,0.806451697,0.094907211,2.449389443,0.460108546,2.439767457,0.92754834,1.582869044,0.65732902,1.0,,1.0,1.0,,,,,,,,
SMILE_VAEProp_obj,ZINC,SMILES,5000.0,0.805842122,0.095489206,2.436890669,0.452634711,2.518606982,0.940987675,1.59231994,0.664341564,0.9482,0.999578148,21.65013716,7.17450939,999.0,False,3.0,True,,,,
SELF_VAEProp_obj,ZINC,SELFIES,5000.0,0.789508627,0.123920076,2.682871821,0.743847354,2.445116352,0.998812338,1.264671311,1.083863287,1.0,0.999,15.2952953,5.345345345,999.0,False,94.0,True,,,,
SMILE_VAE,ZINC,SMILES,5000.0,0.810036399,0.095153215,2.411668993,0.462360327,2.507846326,0.921668127,1.638513002,0.668644294,0.9516,0.998528794,25.13155125,10.33466639,1000.0,False,7.0,True,,,,
SELF_VAE,ZINC,SELFIES,5000.0,0.790998885,0.122821468,2.693759977,0.768867286,2.50916051,0.969224581,1.261234449,1.090395355,1.0,0.9988,13.67641169,3.824589507,1000.0,False,56.0,True,,,,
SMILE_VAE_argmax,ZINC,SMILES,5000.0,0.849378613,0.044360482,1.849331015,0.174338998,2.32427522,0.475601928,2.397562049,0.18124448,1.0,0.0014,42.85714286,28.57142857,1000.0,False,6.0,True,0.055536438,0.032982104,1.00894618,0.001891
SELFIES_VAE_argmax,ZINC,SELFIES,5000.0,0.822409235,0.05559536,2.669588733,0.622253068,3.240523992,0.852406612,1.442457443,0.629490388,1.0,0.018,33.33333333,7.777777778,,,,,0.512712598,0.4400298,1.488662481,0.341433674
SMILES_VAEProp_argmax,ZINC,SMILES,5000.0,0.920774541,0.014131194,1.717354765,0.075392128,3.67966804,0.099067512,2.886517939,0.14604267,1.0,0.0006,0.0,0.0,,,,,0.105349623,0.02365865,1.014902472,0.00397915
SELFIES_VAEProp_argmax,ZINC,SELFIES,5000.0,0.866151943,0.048484888,2.50883501,0.267655501,2.861728328,0.571997572,1.821924705,0.41060546,1.0,0.03,40.0,12.66666667,,,,,0.502835751,0.376673907,1.364173174,0.253535062
SMILES_VAEProp_temp0.1,ZINC,SMILES,5000.0,0.8860802682410127,0.06595173619178983,1.8835928753643398,0.3689050587617681,3.290048588000002,0.6295099285825797,2.5468084658407246,0.6621660811660872,1.0,0.027,52.59259259259259,18.518518518518523,,,,,0.10534962266683578,0.023658649995923042,1.0149024724960327,0.003979149740189314
