gen_mol,SMILES,gen_romol,gen_logP,gen_qed,gen_SAS,gen_obj
[C][C][=C][C][=C][NH1][C][=C][Branch2][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][C][Branch1][C][C][=N][C][=N][C][=N][N][Ring1][Branch1][Ring1][#Branch2][C][Ring2][Ring1][C][=C][Ring2][Ring1][=Branch1],CC1=CC=C2[NH1]C=C(C(=O)NC3CC(C)=NC4=NC=NN43)C2=C1,<rdkit.Chem.rdchem.Mol object at 0x0000022188FCB660>,2.4925200000000007,0.7620745821809891,3.439238648088997,0.3711342628159482
[C][=C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Branch2][Ring1][Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O][Ring1][=Branch1][C][Ring2][Ring1][#Branch1][=O],C1=CC(C2=CC=CC=C2)=C(NC(=O)C3=CC=C4C(=C3)OCO4)C1=O,<rdkit.Chem.rdchem.Mol object at 0x0000022188FCB740>,2.6953000000000005,0.9445330645641595,2.319426430363645,2.4032388924571526
[O][=C][C][C][C][C][NH1][C][=Branch1][C][=O][C][Branch2][Ring1][Ring1][C][=Branch1][C][=O][O][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][=C][C][=Ring2][Ring1][Ring2][Ring2][Ring1][Branch2],O=C1CCCC=2[NH1]C(=O)C(C(=O)OC3=CC=CC4=CC=CC=C34)=CC=21,<rdkit.Chem.rdchem.Mol object at 0x0000022188FCB6D0>,3.266300000000001,0.5767199125622543,2.2846281592535664,0.5989714035577052
[O][=C][Branch2][Ring1][=Branch1][C][C][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][Ring1][=Branch1][N][C][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2],O=C(CCC(=O)C1=CC=C2C(=C1)CCC2)NC3CCOC4=CC=CC=C43,<rdkit.Chem.rdchem.Mol object at 0x0000022188FCB7B0>,3.7782000000000027,0.836012062364333,2.6368756777919256,1.543184634029739
[O][=C][C][C][C][N][Ring1][Branch1][C][C][=C][C][=C][Branch2][Ring1][Ring2][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][=C][Ring1][P],O=C1CCCN1CC2=CC=C(S(=O)(=O)NC3=CC=C(F)C=C3)C=C2,<rdkit.Chem.rdchem.Mol object at 0x0000022188FCB820>,2.7489000000000017,0.9034330293370268,1.8702891388316463,2.6468760078534883
[C][C][=N][N][Branch1][C][C][C][S][C][Branch2][Ring1][Branch2][C][=Branch1][C][=O][N][C][C][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][C][Ring2][Ring1][Branch2][=Ring2][Ring1][Ring2],CC1=NN(C)C=2SC(C(=O)NCC3(CCCC3)C4=CC=CC=C4)=CC1=2,<rdkit.Chem.rdchem.Mol object at 0x0000022188FCB890>,4.185020000000003,0.7645357569183414,2.4607396977151037,1.3619390868766033
[C][C][C][C][C][N][C][=Branch1][C][=O][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][C][=C][Ring1][=Branch2][O][C],CCCCCNC(=O)C=C(OC)C(OC)=CC=COC,<rdkit.Chem.rdchem.Mol object at 0x0000022188FCB900>,2.5135000000000005,0.28957312724803064,3.1855440471396896,-1.7376784108995365
[C][C][C][=C][C][=C][Branch2][Ring1][Branch2][C][=Branch1][C][=O][C][S][C][=N][C][=C][Branch1][Ring1][S][C][C][=N][C][=C][Ring1][Branch2][S][Ring1][O][C][=C][Ring2][Ring1][Branch1],CCC1=CC=C(C(=O)CSC2=NC3=C(SC)C=NC=C3S2)C=C1,<rdkit.Chem.rdchem.Mol object at 0x0000022188FCB970>,4.950600000000003,0.45946113666081867,2.586788024722086,-0.28948234141799256
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=Branch1][C][=O][N][C][C][=N][N][Branch1][=N][C][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][=Ring1][=N],CC1=CC=CC=C1CC(=O)NC=2C=NN(CC3=CC=C(F)C=C3)C=2,<rdkit.Chem.rdchem.Mol object at 0x0000022188FCB9E0>,3.560120000000002,0.7802231523612048,1.8948247772341649,2.006290984571859
[C][C][=C][C][Branch1][C][C][=C][Branch1][P][N][C][C][C][Branch1][Ring1][C][O][C][Branch1][Ring1][C][O][O][Ring1][=Branch2][C][Branch1][C][C][=C][Ring2][Ring1][C],CC1=CC(C)=C(NC2CC(CO)C(CO)O2)C(C)=C1,<rdkit.Chem.rdchem.Mol object at 0x0000022188FCBA50>,1.73956,0.7757952055376867,3.7710547895052464,0.10792123818318711
[C][N][C][=C][C][=C][Ring1][Branch1][C][=Branch1][C][=O][N][C][C][C][Branch1][P][C][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][C][C][Ring1][S],CN1C=CC=C1C(=O)N2CCC(CC(=O)C3=CC=CC(F)=C3)CC2,<rdkit.Chem.rdchem.Mol object at 0x0000022188FCBAC0>,3.2894000000000023,0.8083786893373652,2.2181350664334563,1.82375838025337
[C][C][C][N][C][=C][Branch2][Ring1][#Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][N][Branch1][=Branch1][C][Branch1][C][C][=O][C][C][Ring1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][Ring1][Branch1],CCCN1C=C(S(=O)(=O)N2CCN(C(C)=O)CC2)C3=CC=CC=C31,<rdkit.Chem.rdchem.Mol object at 0x0000022188FCBB30>,1.9041,0.8469116726828072,2.1698125973310063,2.06474576608303
[C][=C][C][=C][Branch1][O][C][N][N][=C][N][Ring1][Branch1][C][C][O][N][=C][N][=C][Ring1][Branch1][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring2][Ring1][Branch2],C=C1C=C(C2NN=CN2CCO3)N=CN=C3N(C4=CC=CC=C4)CC1,<rdkit.Chem.rdchem.Mol object at 0x0000022188FCBBA0>,1.9258999999999997,0.8509791906725864,5.496380362720755,-1.241484409357823
[C][C][C][=C][Branch2][Ring1][Branch2][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][C][=C][Branch1][C][C][N][Branch1][C][C][N][=Ring1][#Branch1][N][Branch1][C][C][N][=Ring2][Ring1][Ring2],CC=1C=C(NC(=O)CNC(=O)C=2C=C(C)N(C)N=2)N(C)N=1,<rdkit.Chem.rdchem.Mol object at 0x0000022188FCBC10>,0.1389399999999994,0.8371667467095457,2.373160219622452,1.8126735139252768
[C][C][C][N][Branch2][Ring1][O][C][C][C][N][Branch1][P][C][=Branch1][C][=O][C][C][C][Branch1][C][C][=N][NH1][C][=Ring1][=Branch1][C][C][C][Ring1][S][C][C][Branch1][C][C][O][Ring2][Ring1][#Branch1],CC1CN(C2CCN(C(=O)CC=3C(C)=N[NH1]C=3C)CC2)CC(C)O1,<rdkit.Chem.rdchem.Mol object at 0x0000022188FCBC80>,1.6692399999999996,0.9133197929101065,3.3179527043251653,1.2486462602253674
[C][C][=C][C][=C][Branch2][Ring1][N][C][=N][NH1][C][=C][Ring1][Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][N][=C][Ring1][=Branch1][N][C][=N][C][=N][Ring1][Branch1][C][=C][Ring2][Ring1][=Branch2],CC1=CC=C(C2=N[NH1]C=C2NC(=O)C3=CC=CN=C3N4C=NC=N4)C=C1,<rdkit.Chem.rdchem.Mol object at 0x0000022188FCBCF0>,2.6131200000000003,0.5918946018312813,2.6262290846053595,0.3332439245510468
[C][C][=Branch1][C][=O][N][C][C][=C][C][=C][Branch1][P][C][=N][C][Branch1][Branch2][C][C][=C][S][C][=Ring1][Branch1][=N][O][Ring1][#Branch2][S][Ring1][#C],CC(=O)NCC1=CC=C(C2=NC(C=3C=CSC=3)=NO2)S1,<rdkit.Chem.rdchem.Mol object at 0x0000022188FCBD60>,3.162700000000001,0.8036492204914067,2.4969988192641175,1.521247283192916
[C][C][=C][S][C][Branch2][Ring1][#Branch1][S][C][Branch1][C][C][C][=N][C][Branch1][=Branch2][C][=C][C][=C][N][=C][Ring1][=Branch1][=N][O][Ring1][O][=N][Ring2][Ring1][Ring2],C1C=CSC(SC(C)C2=NC(C3=CC=CN=C3)=NO2)=N1,<rdkit.Chem.rdchem.Mol object at 0x0000022188FCBDD0>,3.5423000000000027,0.8638533449834983,3.7276368584881103,0.5916298664293809
[C][C][C][=C][C][=C][Branch2][Ring1][#Branch2][C][=Branch1][C][=O][N][C][C][C][Branch1][N][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][Ring1][#C][O][Ring2][Ring1][=Branch1],CCC1=CC=C(C(=O)N2CCC(OCC3=CC=CC=C3C)CC2)O1,<rdkit.Chem.rdchem.Mol object at 0x0000022188FCBE40>,3.9718200000000037,0.8342682940792879,2.189059559842862,1.9822819105535778
[C][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][C][O][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][F],CN(CC1=CC=CC=C1)C(=O)CCOC2=CC=C(F)C=C2F,<rdkit.Chem.rdchem.Mol object at 0x0000022188FCBEB0>,3.3923000000000023,0.8184737780516371,1.7999265829932085,2.2924423072649773
[O][=C][Branch1][=N][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][C][C][N][Branch1][#Branch2][C][C][Branch1][C][F][Branch1][C][F][F][C][C][Ring1][O],O=C(NC1=CC=C(F)C=C1)C2CCN(CC(F)(F)F)CC2,<rdkit.Chem.rdchem.Mol object at 0x0000022188FCBF20>,3.0385000000000018,0.87062287622683,1.889199323349942,2.4639150577842077
[C][N][Branch1][C][C][C][=C][C][=C][Branch2][Ring1][=Branch2][C][=Branch1][C][=O][N][C][C][C][Branch1][Branch2][C][C][=C][S][C][=Ring1][Branch1][C][C][C][C][Ring1][O][C][=N][Ring2][Ring1][Branch1],CN(C)C1=CC=C(C(=O)NCC2C(C=3C=CSC=3)CCCC2C)N1,<rdkit.Chem.rdchem.Mol object at 0x0000022188FCBF90>,4.092000000000003,0.8572242006084446,4.022988945828735,0.26313205721348787
[C][C][C][C][=Branch1][C][=O][N][C][C][C][Ring1][Ring1][C][=N][C][=C][N][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1],CCCC(=O)NC1CC1C2=NC=CN=C2C(=O)NC3=CC=CC=C3,<rdkit.Chem.rdchem.Mol object at 0x0000022188FD2040>,2.501100000000001,0.8548887818159385,3.0814575513276106,1.1929863577520825
[C][C][=C][C][Branch1][C][C][=C][Branch2][Ring1][C][N][C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][Cl][C][Branch1][C][C][=N][Ring2][Ring1][Ring1],CC1=CC(C)=C(NC(=O)C2=CC(F)=CC=C2Cl)C(C)=N1,<rdkit.Chem.rdchem.Mol object at 0x0000022188FD20B0>,4.051660000000002,0.9070190100389152,2.0160645133401562,2.5190305368544195
[C][O][C][=C][C][N][=C][N][Branch1][#C][C][Branch1][#Branch1][C][=Branch1][C][=O][N][C][N][C][C][O][C][=N][C][Ring2][Ring1][C][=Ring1][=C],COC1=CCN=C2N(C(C(=O)NC)NCCOC)NC12,<rdkit.Chem.rdchem.Mol object at 0x0000022188FD2120>,-1.574299999999996,0.48920319666952533,4.6187542909373445,-2.172738307589718
[C][C][C][C][N][Branch1][=Branch1][C][C][C][Ring1][Ring1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][Br],CCCCN(C1CC1)S(=O)(=O)C2=CC=C(N)C=C2Br,<rdkit.Chem.rdchem.Mol object at 0x0000022188FD2190>,2.9845000000000006,0.8049485269953512,2.346217269316373,1.6785253656603834
[N][C][=C][C][Branch1][S][C][O][C][=Branch1][C][=O][C][C][=C][C][=C][N][=C][Ring1][=Branch1][=N][C][=N][C][=C][C][Ring2][Ring1][Ring2][=Ring1][Branch1],NC1=CC(COC(=O)CC2=CC=CN=C2)=NC3=NC=CC13,<rdkit.Chem.rdchem.Mol object at 0x0000022188FD2200>,1.0064999999999993,0.8343084198851564,4.011870524895034,0.15967157453074776
