gen_mol,SMILES,gen_romol,gen_logP,gen_qed,gen_SAS,gen_obj
[C][N][C][=N][C][Branch2][Ring1][=N][C][N][C][=Branch1][C][=O][C][C][C][N][Branch1][=C][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][C][Ring1][N][=N][Ring2][Ring1][Branch1],CN1C=NC(CNC(=O)C2CCN(C(=O)OC(C)(C)C)C2)=N1,<rdkit.Chem.rdchem.Mol object at 0x000001B2C7C8C510>,0.6882999999999997,0.8869873512002563,2.988544889644576,1.4463918663567057
[C][C][Branch1][S][N][C][=Branch1][C][=O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Branch1][C][C][C][C][C][Branch1][C][F][Branch1][C][F][F],CC(NC(=O)COC1=CC=CC=C1)C(=O)N(C)CCC(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x000001B2C7C8C5F0>,1.9808999999999999,0.8305816289833637,2.5747537620073366,1.5781543829094824
[C][C][=N][C][=N][C][Branch1][C][N][=N][N][Ring1][=Branch1][C][Branch1][C][C][=C][Ring1][O][C][C][C][=Branch1][C][=O][N][C][Branch1][Ring1][C][#N][C][C][C][C][C][Ring1][Branch2],CC1=NC2=NC(N)=NN2C(C)=C1CCC(=O)NC3(C#N)CCCCC3,<rdkit.Chem.rdchem.Mol object at 0x000001B2C7C8C580>,1.5986199999999995,0.8706747519127547,2.810022444967851,1.5433513145959221
[C][N][Branch1][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2],CN(CC1=CC=CC=C1Cl)C(=O)C2=CC=C(C(F)(F)F)C=C2,<rdkit.Chem.rdchem.Mol object at 0x000001B2C7C8C660>,4.631000000000003,0.8044860384132174,1.8127110494944496,2.209719142571638
[C][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][Branch1][#C][C][C][=N][O][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1][C][Ring1][S],CC(=O)NCC(=O)N1CCC2CC(C1)N(CC3=NOC4=CC=CC=C34)C2,<rdkit.Chem.rdchem.Mol object at 0x000001B2C7C8C6D0>,1.3867,0.8955486463256017,4.007326502533496,0.47041672909451293
[C][C][C][N][=N][S][C][=Ring1][Branch1][C][=Branch1][C][=O][N][C][C][C][Branch1][=Branch2][N][C][C][N][C][Ring1][Branch1][=O][C][C][Ring1][N],CCC=1N=NSC=1C(=O)N2CCC(N3CCNC3=O)CC2,<rdkit.Chem.rdchem.Mol object at 0x000001B2C7C8C740>,0.7303000000000002,0.8926321546182677,2.6481090050475533,1.8150517680437854
[C][C][O][C][=Branch1][C][=O][N][C][C][C][Branch2][Ring1][Ring2][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][C][Ring1][P],CCOC(=O)N1CCC(NS(=O)(=O)C2=CC=C(F)C=C2)CC1,<rdkit.Chem.rdchem.Mol object at 0x000001B2C7C8C7B0>,1.7249,0.9120131658949204,1.9400144038450176,2.620051425629585
[C][C][N][Branch2][Ring1][Ring1][C][=Branch1][C][=O][C][C][=C][N][Branch1][=Branch1][C][Branch1][C][C][C][N][=Ring1][Branch2][C][=C][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Ring1][Branch2],CCN(C(=O)C=1C=CN(C(C)C)N=1)C2=CC=C(F)C(F)=C2,<rdkit.Chem.rdchem.Mol object at 0x000001B2C7C8C820>,3.4089000000000027,0.8661139408987137,2.405285725695329,1.92528397879824
[C][C][=Branch1][C][=O][N][Branch1][=Branch2][C][C][C][=C][O][C][=Ring1][Branch1][C][=Branch1][C][=O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],CC(=O)N(CC=1C=COC=1)C(=O)C(C2=CC=CC=C2)C3=CC=CC=C3,<rdkit.Chem.rdchem.Mol object at 0x000001B2C7C8C890>,3.9868000000000032,0.7092984798982558,2.3252723900227963,1.2212200094684826
[C][O][C][C][=Branch1][C][=O][N][Branch1][=C][C][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][Cl][C][C][C][Branch1][C][O][=N][C][=N][Ring1][#Branch1],COCC(=O)N(CC1=CC=C(F)C=C1Cl)C2CC(O)=NC=N2,<rdkit.Chem.rdchem.Mol object at 0x000001B2C7C8C900>,2.1687000000000003,0.9002633727279069,3.6540418127215,0.847275050918034
[C][#C][C][N][C][C][N][Branch2][Ring1][#Branch2][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][O][N][C][=Branch1][C][=O][C][C][C][Ring1][Ring1][=C][Ring1][N][C][C][Ring2][Ring1][Ring2],C#CCN1CCN(C(=O)C2=CC=CC(NC(=O)C3CC3)=C2C)C1,<rdkit.Chem.rdchem.Mol object at 0x000001B2C7C8C970>,1.69202,0.8611102631997212,2.394692897973835,1.9108584180247714
[C][C][=N][N][Branch1][=N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Br][S][Ring1][N][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][O][C][O],CC1=NN(C2=CC=C(Cl)C=C2Br)S1C3=CC(N)=CC=C3OCO,<rdkit.Chem.rdchem.Mol object at 0x000001B2C7C8C9E0>,4.142000000000003,0.3978187764695164,4.082597891970115,-2.0935040096225332
[F][C][=C][C][=C][Branch2][Ring1][C][N][N][=N][N][=C][Ring1][Branch1][C][N][C][C][C][C][C][Ring1][=Branch1][=O][C][Branch1][C][Cl][=C][Ring2][Ring1][Ring2],FC1=CC=C(N2N=NN=C2CN3CCCCC3=O)C(Cl)=C1,<rdkit.Chem.rdchem.Mol object at 0x000001B2C7C8CA50>,1.9672999999999998,0.8692791148678725,2.33950362043217,2.006891953907192
[C][C][=C][C][Branch1][C][C][=C][C][Branch2][Ring1][=Branch1][C][C][=N][N][=C][Branch1][O][S][C][C][N][C][=C][C][=N][Ring1][Branch1][N][Ring1][=N][N][=C][Ring2][Ring1][=Branch1],CC1=CC(C)=CC(CC2=NN=C(SCCN3C=CC=N3)N2N)=C1,<rdkit.Chem.rdchem.Mol object at 0x000001B2C7C8CAC0>,2.18834,0.5544299221263066,2.576669842903902,0.19547976772763098
[C][C][N][Branch1][=Branch1][C][C][C][Ring1][Ring1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][#Branch2],CCN(C1CC1)S(=O)(=O)C2=CC3=CC=CC=C3CC2,<rdkit.Chem.rdchem.Mol object at 0x000001B2C7C8CB30>,2.7878000000000016,0.8483772460347727,2.595808304917842,1.6460779252560211
[C][C][=N][O][C][Branch1][C][C][=C][Ring1][=Branch1][N][Branch1][C][C][C][C][=Branch1][C][=O][N][C][C][Branch1][C][F][Branch1][C][F][F],CC1=NOC(C)=C1N(C)CC(=O)NCC(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x000001B2C7C8CBA0>,1.4061400000000002,0.8937821309976539,2.698283511098298,1.7706271438899712
[C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][Branch1][C][O][C][=C][Branch1][C][C][C][=C][Branch1][C][C][C][=C][Ring1][Branch2][C],CCCCCNC(=O)CCC(O)C1=C(C)C=C(C)C=C1C,<rdkit.Chem.rdchem.Mol object at 0x000001B2C7C8CC10>,3.731860000000003,0.7169573806255858,2.5513215901369524,1.0334653129909768
