gen_mol,SMILES,gen_romol,gen_logP,gen_qed,gen_SAS,gen_obj
[C][C][C][Branch1][Ring1][C][C][N][N][=C][C][Branch2][Ring1][Branch1][C][=Branch1][C][=O][N][Branch1][C][C][C][C][C][Branch1][C][C][=N][O][C][=Ring1][=Branch1][C][=C][Ring1][P][C],CCC(CC)N1N=CC(C(=O)N(C)CC=2C(C)=NOC=2C)=C1C,<rdkit.Chem.rdchem.Mol object at 0x000002763F80BD60>,3.429660000000002,0.818275553387495,2.7218320806661414,1.3695456862713336
[C][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][=Branch1][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][C][=C][Ring2][Ring1][Ring1],CC(=O)C1=CC=C(NC(=O)CCC(=O)C2=CC=C(C)S2)C=C1,<rdkit.Chem.rdchem.Mol object at 0x000002763F80BE40>,3.8607200000000024,0.8232748281999559,1.9125082247781826,2.2038659162215968
[C][N][Branch1][=N][C][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][N][Ring1][Branch2],CN(CC1=CC=C(F)C=C1)C(=O)C2=CC=C3C(=C2)NC(=O)CN3,<rdkit.Chem.rdchem.Mol object at 0x000002763F80BDD0>,2.4619,0.9148637211181518,2.249878471198686,2.3244401343920735
[C][C][N][=C][N][Branch1][Ring2][N][=Ring1][Branch1][C][Branch2][Ring1][Ring2][C][=Branch1][C][=O][N][C][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][C][C][C][C][Ring2][Ring1][Ring1],CC=1N=CN(N=1)C(C(=O)NCC2=CC=C(C#N)C=C2C)CCC,<rdkit.Chem.rdchem.Mol object at 0x000002763F80BEB0>,2.42422,0.8877074027187153,3.1419745746624237,1.2965624389311525
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][C][N][Branch1][#Branch2][C][=Branch1][C][=O][C][C][C][Ring1][Ring1][C][C][Ring1][#Branch2][S][Ring1][N],CC1=CC=CC=C1NC(=O)C2CN(C(=O)C3CC3)CC2S,<rdkit.Chem.rdchem.Mol object at 0x000002763F80BF20>,2.1003200000000004,0.8403129275922565,3.109454482404752,1.0921101555565302
[C][O][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1],COC1=CC(N)=CC=C1NC(=O)C2=CC=CC(F)=C2,<rdkit.Chem.rdchem.Mol object at 0x000002763F80BF90>,2.668800000000001,0.8337746085862208,1.6630477824214704,2.505825260509633
[C][C][C][C][N][Branch1][C][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][C][C][Branch1][=Branch2][S][Branch1][C][C][=Branch1][C][=O][=O][=C][Ring1][N],CCCCN(C)C(=O)N1C=CC=C(C)C(S(C)(=O)=O)=C1,<rdkit.Chem.rdchem.Mol object at 0x000002761EE58040>,2.499900000000001,0.8009810245372381,3.37706760961495,0.6278375130712401
[C][C][=N][O][C][=N][C][Branch1][=Branch1][C][Branch1][C][C][C][=C][C][Branch1][S][C][=Branch1][C][=O][N][C][C][C][C][Branch1][C][C][C][Ring1][#Branch1][=C][Ring2][Ring1][Ring2][Ring1][P],CC=NOC=NC(C(C)C)=CC(C(=O)N1CCCC(C)C1)=C,<rdkit.Chem.rdchem.Mol object at 0x000002761EE580B0>,3.391600000000002,0.2482169376735772,4.389129505029194,-3.148044816661308
[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][N][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][C][=C][Branch1][C][C][N][Ring1][=C][C],COC1=CC=CC=C1C2=CCN(CC(C)C)C(=O)C=C(C)N2C,<rdkit.Chem.rdchem.Mol object at 0x000002761EE58120>,3.369900000000002,0.854018259597834,2.9155529597870196,1.3545383382021505
[C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][Branch1][C][C][C][=Branch1][C][=O][N][Ring1][Branch2][C][C][O][C],CC(=O)NC1=CC=CC2=C1NC(C)C(=O)N2CCOC,<rdkit.Chem.rdchem.Mol object at 0x000002761EE58190>,1.4384,0.8733304574616901,2.984204600576531,1.3824476867319202
[C][C][Branch1][#C][C][=C][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Ring1][Branch2][N][Branch1][C][C][C][=Branch1][C][=O][N][C][=C][C][=C][N][=C][Ring1][=Branch1],CC(C1=CC=C(F)C(F)=C1)N(C)C(=O)NC2=CC=CN=C2,<rdkit.Chem.rdchem.Mol object at 0x000002761EE58200>,3.5847000000000016,0.9390149445898904,2.5541188398926415,2.1409558830568107
[C][C][C][=N][O][C][Branch2][Ring1][#Branch1][C][=C][C][=C][C][Branch1][=N][C][=Branch1][C][=O][N][C][C][C][C][C][Ring1][Branch1][=C][Ring1][=C][=N][Ring2][Ring1][Ring1],CCC1=NOC(C2=CC=CC(C(=O)NC3CCCC3)=C2)=N1,<rdkit.Chem.rdchem.Mol object at 0x000002761EE58270>,2.971400000000001,0.9373539547984114,2.036554843635196,2.650214930356861
[C][C][N][C][C][Branch1][#Branch1][C][C][C][Ring1][=Branch1][=O][C][C][N][Branch2][Ring1][C][C][=Branch1][C][=O][N][C][Branch1][C][C][C][=C][C][=N][C][=C][Ring1][=Branch1][C][C][Ring2][Ring1][Branch1],CCN1CC2(CCC1=O)CCN(C(=O)NC(C)C3=CC=NC=C3)CC2,<rdkit.Chem.rdchem.Mol object at 0x000002761EE582E0>,2.5767000000000007,0.9164018775543914,3.4483507691312862,1.1336586186406707
[C][O][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][C][N][C][=Branch1][C][=O][C][C][=C][NH1][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch2][Ring1][#Branch1],COC1=CC(Cl)=CC=C1CNC(=O)CC2=C[NH1]C3=CC=C(F)C=C23,<rdkit.Chem.rdchem.Mol object at 0x000002761EE58350>,3.8279000000000023,0.73739964572069,2.0624676456189768,1.6245305829844732
[C][C][C][Branch1][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][#C][C][=C][C][Branch1][C][F][=C][C][Branch1][C][F][=C][Ring1][Branch2][C][Ring1][=C],CCC(C)NC(=O)C1CC(=O)N(C2=CC(F)=CC(F)=C2)C1,<rdkit.Chem.rdchem.Mol object at 0x000002761EE583C0>,2.2324,0.9260325263769847,2.855907867857775,1.7742547640271482
[C][N][C][C][C][C][Branch1][C][C][=N][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2][S][Ring1][=C][=Branch1][C][=O][=O],CNCCCC(C)=NC1=CC=C(C(F)(F)F)C=C1S(=O)=O,<rdkit.Chem.rdchem.Mol object at 0x000002761EE58430>,2.767700000000001,0.4809185192799392,3.4185197193332675,-1.0139271229335716
[C][C][=C][C][Branch1][C][C][=C][Branch2][Ring1][#Branch1][C][=Branch1][C][=O][N][C][Branch1][C][C][C][=Branch1][C][=O][N][C][Branch1][C][C][Branch1][C][C][C][C][Branch1][C][C][=C][Ring2][Ring1][Ring2],CC1=CC(C)=C(C(=O)NC(C)C(=O)NC(C)(C)C)C(C)=C1,<rdkit.Chem.rdchem.Mol object at 0x000002761EE584A0>,2.6448600000000013,0.8988307196405535,2.501418486223322,1.992735111979445
[C][C][C][C][=N][NH1][C][Branch2][Ring1][P][C][C][N][Branch2][Ring1][Branch1][C][=Branch1][C][=O][C][=C][N][=C][Branch1][Branch2][C][C][C][C][O][Ring1][Branch1][S][Ring1][#Branch2][C][C][Ring2][Ring1][C][O][Ring2][Ring1][=Branch1],C1CCC=N[NH1]C21CCN(C(=O)C3=CN=C(C4CCCO4)S3)CC2O,<rdkit.Chem.rdchem.Mol object at 0x000002761EE58510>,1.6995000000000002,0.8340267771574473,4.907609764003213,-0.7374758782159763
[C][C][C][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][=C][C][Branch1][C][Br][=C][C][=C][Ring1][#Branch1][F],CCCNC(=O)CNC(=O)C1=CC(Br)=CC=C1F,<rdkit.Chem.rdchem.Mol object at 0x000002761EE58580>,1.8441999999999994,0.8705854918503224,1.8300424275617733,2.522885031689839
[C][C][C][N][N][=N][N][=C][Ring1][Branch1][C][S][C][=N][C][=N][C][S][C][=C][C][Ring1][=Branch2][=Ring1][Branch1],CCCN1N=NN=C1CSC2=NC=NC=3SC=CC2=3,<rdkit.Chem.rdchem.Mol object at 0x000002761EE585F0>,2.3801000000000005,0.530994303600251,2.6648970204475937,-0.009925502446338719
[C][C][N][Branch1][=Branch2][C][C][C][C][O][C][Ring1][Branch1][C][=Branch1][C][=O][C][C][C][C][C][Branch1][=C][C][C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][=C],CCN(CC1CCOC1)C(=O)CCC2CC(CC(O)C3=CC=CC=C3)CC2,<rdkit.Chem.rdchem.Mol object at 0x000002761EE58660>,4.191600000000004,0.705953247211023,3.549932358374284,-0.0201661223191687
[N][#C][C][C][=C][Branch2][Ring1][C][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][NH1][C][=Branch1][C][=O][C][=Ring2][Ring1][C][C][C][N][C][Ring1][=Branch2],N#CC=1C=C(CC(=O)NC2=CC=C(Cl)C=C23)[NH1]C(=O)C=1CCNC3,<rdkit.Chem.rdchem.Mol object at 0x000002761EE586D0>,1.7268799999999997,0.6787217711444912,4.233014852032531,-0.8394059963100746
[C][C][=N][N][Branch1][C][C][C][=C][Ring1][=Branch1][C][N][C][C][C][C][Branch1][Branch2][C][=C][C][=C][O][Ring1][Branch1][C][Ring1][O],CC1=NN(C)C=C1CN2CCCC(C3=CC=CO3)C2,<rdkit.Chem.rdchem.Mol object at 0x000002761EE58740>,2.7011200000000013,0.8496225152136655,2.8878745319263928,1.3602380441419344
[C][N][C][=Branch1][C][=O][C][Branch1][C][C][Branch1][C][C][C][Branch2][Ring1][Branch2][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][C][=C][Ring1][#Branch2][C][Ring2][Ring1][Branch1][=O],CN1C(=O)C(C)(C)C(NC(=O)C2=CC=C(C(C)(C)C)C=C2)C1=O,<rdkit.Chem.rdchem.Mol object at 0x000002761EE587B0>,2.1073,0.8498507264354423,3.006213613123961,1.2430400190532502
[C][C][C][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][C][C][Ring1][Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][C][C][Branch1][C][C][=C][Ring1][Branch2],CCCS(=O)(=O)N1CCCC1C(=O)NC2=CC=C(C)C(C)=C2,<rdkit.Chem.rdchem.Mol object at 0x000002761EE58820>,2.4461400000000006,0.904462859256843,2.496436428106117,2.025877868178098
