gen_mol,gen_romol,gen_logP,gen_qed,gen_SAS,gen_obj
CC(C)CC(=O)Nc1ccc(C(=O)N2CCCCCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001DBD538DA50>,3.687400000000003,0.9218903433017885,1.7114005284026383,2.8980511881063045
CC(C)CC(=O)Nc1ccc(C(=O)N2CCCCCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001DBD538D890>,3.687400000000003,0.9218903433017885,1.7114005284026383,2.8980511881063045
CC(C)CC(=O)Nc1ccc(C(=O)N2CCCCCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001DBD538DC80>,3.687400000000003,0.9218903433017885,1.7114005284026383,2.8980511881063045
CC(C)CC(=O)Nc1ccc(C(=O)N2CCCCCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001DBD538DF20>,3.687400000000003,0.9218903433017885,1.7114005284026383,2.8980511881063045
CC(C)CC(=O)Nc1ccc(C(=O)N2CCCCCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001DBD538DF90>,3.687400000000003,0.9218903433017885,1.7114005284026383,2.8980511881063045
CC(C)(C)OC(=O)N1CCC(C(=O)NCCc2ccccn2)C1,<rdkit.Chem.rdchem.Mol object at 0x000001DBD7B6B040>,1.9972999999999996,0.9211602174440248,2.4863332285085775,2.1194678587115465
CC(C)CC(=O)Nc1ccc(C(=O)N2CCCCCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001DBD7B6B0B0>,3.687400000000003,0.9218903433017885,1.7114005284026383,2.8980511881063045
CCCCNC(=O)C1CCCN(C(=O)Nc2ccc(F)cc2)C1,<rdkit.Chem.rdchem.Mol object at 0x000001DBD7B6B120>,2.9859000000000018,0.8191017599032534,2.278421778804436,1.8170870207118313
CC(C)CC(=O)Nc1ccc(C(=O)N2CCCCCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001DBD7B6B190>,3.687400000000003,0.9218903433017885,1.7114005284026383,2.8980511881063045
Cc1ccc(C(=O)Nc2cccc(C(N)=O)c2)cc1C,<rdkit.Chem.rdchem.Mol object at 0x000001DBD7B6B200>,2.6546400000000006,0.8978197255979704,1.5509904807061226,2.93810814728373
CC(C)CC(C)N(C)C(=O)CN1CCN(C(=O)C2CCCCC2)CC1,<rdkit.Chem.rdchem.Mol object at 0x000001DBD7B6B270>,2.6039000000000003,0.738741626509679,2.6746947753234256,1.0190133572249693
CC(C)CC(=O)Nc1ccc(C(=O)N2CCCCCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001DBD7B6B2E0>,3.687400000000003,0.9218903433017885,1.7114005284026383,2.8980511881063045
CC(C)CC(C)N(C)C(=O)CN1CCN(C(=O)C2CCCCC2)CC1,<rdkit.Chem.rdchem.Mol object at 0x000001DBD7B6B350>,2.6039000000000003,0.738741626509679,2.6746947753234256,1.0190133572249693
CC(C)CC(=O)Nc1ccc(C(=O)N2CCCCCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001DBD7B6B3C0>,3.687400000000003,0.9218903433017885,1.7114005284026383,2.8980511881063045
CC(C)CC(=O)Nc1ccc(C(=O)N2CCCCCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001DBD7B6B430>,3.687400000000003,0.9218903433017885,1.7114005284026383,2.8980511881063045
CC(C)CC(=O)Nc1ccc(C(=O)N2CCCCCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001DBD7B6B4A0>,3.687400000000003,0.9218903433017885,1.7114005284026383,2.8980511881063045
CC(C)(C)C(=O)NCCC(=O)Nc1cccc(Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x000001DBD7B6B510>,2.8309000000000006,0.8920555094191429,1.8053539209000817,2.6549236261956324
CC(C)CC(=O)Nc1ccc(C(=O)N2CCCCCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001DBD7B6B580>,3.687400000000003,0.9218903433017885,1.7114005284026383,2.8980511881063045
